db,valence,col,archive,full_repl
GDELT,negative,mean_shock,-0.007827519009280448,-0.017488654221331983
GDELT,positive,mean_shock,-0.1550231779876541,-0.12115210410452014
ICEWS,negative,mean_shock,-0.0640290511501668,-0.14159050718022725
ICEWS,positive,mean_shock,-0.036917086903917234,0.05783717714153052
