db,spec,trade,h,Est,SE,pv,cum,n
GDELT,GD-Total,Trade_Total,0,0.0127358176427652,0.0057290399290537,0.0262138947041412,0.0823344194046304,6685
GDELT,GD-Total,Trade_Total,1,0.0124041406521645,0.00522807377898414,0.0176632639187153,0.0823344194046304,6660
GDELT,GD-Total,Trade_Total,2,0.0111379263805306,0.005033268081976,0.026907178957818,0.0823344194046304,6635
GDELT,GD-Total,Trade_Total,3,0.00969076095314975,0.00554988835092368,0.0807904181594304,0.0823344194046304,6610
GDELT,GD-Total,Trade_Total,4,0.0115732152151034,0.0056801490212096,0.041601520237652,0.0823344194046304,6585
GDELT,GD-Total,Trade_Total,5,0.0124684812690678,0.00550066152191903,0.0234070937773797,0.0823344194046304,6560
GDELT,GD-Total,Trade_Total,6,0.0123240772918492,0.00536426904724614,0.0215937776248059,0.0823344194046304,6535
GDELT,GD-Total,Trade_Exports,0,0.01331687692549,0.00494700495863911,0.00710447684417479,0.0794267394741194,6685
GDELT,GD-Total,Trade_Exports,1,0.0128046065911395,0.00526361483013434,0.0149881999821472,0.0794267394741194,6660
GDELT,GD-Total,Trade_Exports,2,0.0104538694652164,0.00526427438614163,0.0470539872138215,0.0794267394741194,6635
GDELT,GD-Total,Trade_Exports,3,0.00948609368928784,0.0058598784883358,0.105485806820179,0.0794267394741194,6610
GDELT,GD-Total,Trade_Exports,4,0.0111987710203589,0.00550122897904626,0.0417819651141215,0.0794267394741194,6585
GDELT,GD-Total,Trade_Exports,5,0.0107187507664776,0.00540504891004697,0.0473562962999808,0.0794267394741194,6560
GDELT,GD-Total,Trade_Exports,6,0.0114477710161492,0.00576093913710695,0.0469072996471778,0.0794267394741194,6535
GDELT,GD-Total,Trade_Imports,0,0.0157313566077401,0.00879189028011486,0.0735660137247163,0.106255506208923,6685
GDELT,GD-Total,Trade_Imports,1,0.0147910994866462,0.00787473335414876,0.0603403479092751,0.106255506208923,6660
