type,group,trade,horizon,estimate,se,pval,sig,ci_lower,ci_upper,trade_label
valence,Event_Positive,Trade_Total,0,-0.00520677133741213,0.0180785943123552,0.773340972825587,"",-0.0406408161896283,0.0302272735148041,总贸易
valence,Event_Negative,Trade_Total,0,-0.014024579983777,0.0194562613597433,0.471016547028674,"",-0.0521588522488738,0.0241096922813198,总贸易
valence,Event_Neutral,Trade_Total,0,0.00702094660525783,0.00490100008635473,0.151985374809246,"",-0.00258501356399743,0.0166269067745131,总贸易
valence,Event_Positive,Trade_Total,1,-0.0143919173669345,0.0147794909753956,0.330167645634721,"",-0.0433597196787098,0.0145758849448409,总贸易
valence,Event_Negative,Trade_Total,1,-0.0141045910239449,0.0169472244608635,0.405259073446639,"",-0.0473211509672373,0.0191119689193476,总贸易
valence,Event_Neutral,Trade_Total,1,0.00137984165727479,0.00605750282886843,0.819809104874578,"",-0.0104928638873073,0.0132525472018569,总贸易
valence,Event_Positive,Trade_Total,3,0.0154496352763814,0.0141615651307331,0.275292529011444,"",-0.0123070323798555,0.0432063029326183,总贸易
valence,Event_Negative,Trade_Total,3,-0.00180938828720915,0.0149643293921286,0.903759610295278,"",-0.0311394738957812,0.0275206973213629,总贸易
valence,Event_Neutral,Trade_Total,3,0.00604836289102363,0.00683340184532788,0.376093314497227,"",-0.00734510472581902,0.0194418305078663,总贸易
valence,Event_Positive,Trade_Total,6,0.011417749290947,0.0122606767402116,0.351724509181997,"",-0.0126131771198677,0.0354486757017617,总贸易
valence,Event_Negative,Trade_Total,6,-0.00760271179444186,0.0146469571103169,0.603715938049717,"",-0.036310747730663,0.0211053241417793,总贸易
valence,Event_Neutral,Trade_Total,6,0.0057974239394492,0.00595674810259221,0.330427493784083,"",-0.00587780234163153,0.0174726502205299,总贸易
valence,Event_Positive,Trade_Total,12,0.00113065142837991,0.0109523514454592,0.917777518332511,"",-0.0203359574047202,0.02259726026148,总贸易
valence,Event_Negative,Trade_Total,12,-0.0277776227639433,0.0254760067465243,0.27556143834221,"",-0.0777105959871309,0.0221553504592443,总贸易
valence,Event_Neutral,Trade_Total,12,0.0202981071018471,0.00783497461536534,0.00957795851831149,***,0.00494155685573101,0.0356546573479632,总贸易
valence,Event_Positive,Trade_Exports,0,-0.000179708162245881,0.0192414078626459,0.992548139690336,"",-0.0378928675730318,0.03753345124854,出口
valence,Event_Negative,Trade_Exports,0,-0.0167272873226333,0.017732953419947,0.34553346341777,"",-0.0514838760257295,0.0180293013804629,出口
valence,Event_Neutral,Trade_Exports,0,0.00142288917966389,0.00560597782723381,0.799637393370558,"",-0.00956482736171437,0.0124106057210422,出口
valence,Event_Positive,Trade_Exports,1,-0.0163383070103228,0.0191897961151461,0.394543875569826,"",-0.0539503073960092,0.0212736933753636,出口
valence,Event_Negative,Trade_Exports,1,-0.0154473117770461,0.0156163798385318,0.322578177756128,"",-0.0460554162605685,0.0151607927064763,出口
valence,Event_Neutral,Trade_Exports,1,-0.00799098513240802,0.00877963580988034,0.362731420934199,"",-0.0251990713197735,0.00921710105495744,出口
