country,year,indicator_type,favorable,unfavorable,n_sample,source,wave,gdelt_mean,gdelt_std,gdelt_n_months,icews_mean,icews_std,icews_n_months,phoenix_mean,phoenix_std,phoenix_n_months,tsinghua_mean,tsinghua_std,tsinghua_n_months,polling_z,polling_z_by_source
Australia,2008,好感度%（四级题，1-2档）,51.4,40.0,640.0,Pew Research Center,Pew_2008_24国,0.8485019295827539,0.6476715605395293,12.0,1.1958109053622714,0.7688677930871665,12.0,1.7504762602335415,2.99096640443457,12.0,5.591666666666666,0.12401124093721445,12.0,0.6285797709840394,0.6285797709840394
Australia,2013,好感度%（四级题，1-2档）,56.8,36.2,744.0,Pew Research Center,Pew_2013_39国,1.4052335438949157,0.5320344581487815,12.0,1.0523270080644742,1.5410401343790057,12.0,1.7865874542469735,2.7132906932157383,12.0,6.208333333333333,0.18809249819912527,12.0,0.9866234604807018,0.9866234604807018
Australia,2016,好感度%（四级题，1-2档）,54.4,39.2,936.0,Pew Research Center,Pew_2016_19国,0.6395632883996197,0.4939116780840255,12.0,0.4817165277752431,2.0578335753801125,12.0,0.6656512573045515,2.1730659048502083,12.0,6.358333333333333,0.17816403745544288,12.0,0.8274929318155185,0.8274929318155185
Australia,2017,好感度%（四级题，1-2档）,62.0,33.9,959.0,Pew Research Center,Pew_2017_38国,0.8495913853622844,0.4586097262765346,12.0,1.196937373148567,1.1950019029752075,12.0,0.847069930863713,2.6826042112314776,12.0,6.166666666666667,0.08876253645985953,12.0,1.3314062725885991,1.3314062725885991
Australia,2018,好感度%（四级题，1-2档）,48.4,46.6,1092.0,Pew Research Center,Pew_2018_27国,0.4209851569908543,0.29378975080754416,12.0,0.18099510838471966,1.1044840505400038,12.0,0.00813701820750005,2.3616257128160947,12.0,5.825,0.045226701686664934,12.0,0.42966661015256025,0.42966661015256025
Australia,2019,好感度%（四级题，1-2档）,35.7,59.1,959.0,Pew Research Center,Pew_2019_34国,-0.07592476970263326,0.4077185839308519,12.0,-0.3002649339762047,1.3813352199156677,12.0,-1.8666666666666665,5.201281893277207,3.0,5.733333333333333,0.08876253645985946,12.0,-0.4123991040340345,-0.4123991040340345
Australia,2020,好感度%（四级题，1-2档）,14.9,82.6,990.0,Pew Research Center,Pew_2020夏_14国,-0.677815635386294,0.7056542667577487,12.0,-1.489759996505447,0.9540171997850596,12.0,,,,4.183333333333333,1.2640723032638548,12.0,-1.7915303524656236,-1.7915303524656236
Belgium,2020,好感度%（四级题，1-2档）,25.7,71.0,775.0,Pew Research Center,Pew_2020夏_14国,0.7255136660372686,1.226623712944636,12.0,1.9701958760884493,2.3604612774564044,12.0,,,,,,,-1.0754429734722986,-1.0754429734722986
Brazil,2008,好感度%（四级题，1-2档）,44.5,40.7,852.0,Pew Research Center,Pew_2008_24国,1.012551856258178,1.0370050708638097,12.0,2.1553783870358094,1.017050797022797,12.0,3.0503641510935045,1.742171759665576,12.0,,,,0.17107950107163747,0.17107950107163747
Brazil,2009,好感度%（四级题，1-2档）,52.6,36.2,722.0,Pew Research Center,Pew_2009春_25国,2.0994097773411693,0.7266092877230306,12.0,1.6488970471368045,2.753747256091821,12.0,2.475153178977454,1.9004617017153331,12.0,,,,0.7081450353166313,0.7081450353166313
Brazil,2010,好感度%（四级题，1-2档）,50.1,33.8,839.0,Pew Research Center,Pew_2010_22国,2.395673031982811,0.8845906846023597,12.0,1.6896621213718934,1.6520333830641856,12.0,3.9788493360334996,1.5223842126730533,12.0,,,,0.5423840679570653,0.5423840679570653
Brazil,2011,好感度%（四级题，1-2档）,50.6,36.0,695.0,Pew Research Center,Pew_2011_23国,2.4030099072424917,0.7418897506689471,12.0,2.315485900675211,0.9960314253530701,12.0,1.9954791633453957,2.052235308464567,12.0,,,,0.5755362614289785,0.5755362614289785
Brazil,2012,好感度%（四级题，1-2档）,49.5,38.1,701.0,Pew Research Center,Pew_2012_21国,1.7658066208041732,0.900005718666495,12.0,1.8504797352629836,1.8819234136755296,12.0,4.051072398019786,1.1782730893877758,12.0,,,,0.5026014357907694,0.5026014357907694
Brazil,2013,好感度%（四级题，1-2档）,64.9,27.7,889.0,Pew Research Center,Pew_2013_39国,1.8038701525553724,0.8393457531821902,12.0,1.574103865414284,1.082840777893259,12.0,2.834318629278813,3.414028941599422,12.0,,,,1.523688994725696,1.523688994725696
Brazil,2014,好感度%（四级题，1-2档）,43.7,44.0,879.0,Pew Research Center,Pew_2014_44国,2.289165146877617,0.6004482445152923,12.0,1.7219308210554098,1.1725511536298088,12.0,2.518098590807844,1.1484541619135435,12.0,,,,0.11803599151657655,0.11803599151657655
Brazil,2017,好感度%（四级题，1-2档）,51.4,25.7,777.0,Pew Research Center,Pew_2017_38国,2.586376481771793,0.8033929029513804,12.0,2.2978353067152724,2.347716845333114,12.0,-1.0276126727369386,5.52041678465033,12.0,,,,0.6285797709840394,0.6285797709840394
Brazil,2018,好感度%（四级题，1-2档）,49.1,34.3,841.0,Pew Research Center,Pew_2018_27国,2.8869820728520126,0.5607100871230857,12.0,2.0436718910700686,1.44031009076518,12.0,2.548026429802808,1.2957174009593297,12.0,,,,0.47607968101323894,0.47607968101323894
Brazil,2019,好感度%（四级题，1-2档）,47.0,27.7,782.0,Pew Research Center,Pew_2019_34国,2.448750162411152,0.7981740636637308,12.0,1.7715702965638662,0.9138046725568877,12.0,3.6999999999999993,0.0,3.0,,,,0.3368404684312034,0.3368404684312034
United Kingdom,2005,好感度%（四级题，1-2档）,65.5,16.1,612.0,Pew Research Center,Pew_2005_22国,1.60714250453053,1.0205768964064383,12.0,2.112333151251406,0.5893342511329869,12.0,2.367794449985141,1.7411413130717301,12.0,4.6499999999999995,0.07977240352174686,12.0,1.5634716268919915,1.5634716268919915
United Kingdom,2006,好感度%（四级题，1-2档）,62.3,13.1,680.0,Pew Research Center,Pew_2006_15国,1.3991568742759506,0.6160913745879322,12.0,1.998073973455262,0.8980790936046525,12.0,0.7352463662288207,2.514952521029679,12.0,4.858333333333333,0.09003366373785202,12.0,1.3512975886717469,1.3512975886717469
United Kingdom,2010,好感度%（四级题，1-2档）,42.5,37.2,598.0,Pew Research Center,Pew_2010_22国,1.1183871286330997,0.9336875272633545,12.0,2.1490196526603644,1.125148048847316,12.0,1.7947299237555236,1.120101118170278,12.0,5.416666666666667,0.038924947208076065,12.0,0.0384707271839847,0.0384707271839847
United Kingdom,2011,好感度%（四级题，1-2档）,56.5,27.1,836.0,Pew Research Center,Pew_2011_23国,0.6713652834198837,0.8690803993835248,12.0,0.7857888274703019,1.691447588826231,12.0,2.1717453908326965,1.2637910043860272,12.0,5.591666666666666,0.09003366373785202,12.0,0.9667321443975541,0.9667321443975541
United Kingdom,2012,好感度%（四级题，1-2档）,47.4,36.1,850.0,Pew Research Center,Pew_2012_21国,0.17670647719305357,1.5179860136648309,12.0,0.7363919461963887,1.980994761228819,12.0,0.13735089194950903,2.123587837626215,12.0,5.625,0.06215815605080594,12.0,0.3633622232087339,0.3633622232087339
United Kingdom,2013,好感度%（四级题，1-2档）,46.3,32.7,800.0,Pew Research Center,Pew_2013_39国,1.0818696969558494,1.1876152803034254,12.0,0.7382096260288981,1.8845619630914938,12.0,0.974998624433511,3.6237534510229255,12.0,5.25,0.15666989036012788,12.0,0.29042739757052477,0.29042739757052477
