trade,category,estimate,se,z,pvalue,pvalue_t_g1,n,n_country,sparse,dropped,qvalue_bh_by_trade,pvalue_bonf_by_trade,qvalue_bh_joint,pvalue_bonf_joint,sig_fdr,trade_label,event_category_en,count,loo_n,loo_pos,loo_neg,loo_min,loo_max
Trade_Total,军事安全合作,-0.0346703744489161,0.0458802014361175,-0.755671800987847,0.449845995089989,0.457199105328424,6685,25,0,,0.449845995089989,1,0.524820327604988,1,"",总贸易,Military-security cooperation,11,,,,,
Trade_Total,外交抗议/摩擦,,,,,,,25,,1,,,,,,总贸易,Diplomatic protest / friction,13,,,,,
Trade_Total,多边/第三方会晤,,,,,,,25,,1,,,,,,总贸易,Multilateral / third-party meeting,142,,,,,
Trade_Total,安全威胁,0.0858814703162554,0.0558361111606314,1.53809906404815,0.124024394823687,0.137105514895429,6685,25,1,,0.217042690941452,0.868170763765809,0.289390254588603,1,"",总贸易,Security threat,5,,,,,
Trade_Total,战略伙伴关系提升,0.0669613695146591,0.0418902672565505,1.59849468385018,0.109932927593861,0.123016655104826,6685,25,0,,0.217042690941452,0.769530493157026,0.289390254588603,1,"",总贸易,Strategic partnership upgrade,43,,,,,
Trade_Total,战略定位负面,-0.088651011067127,0.053965925512603,-1.64272196251733,0.100440472577616,0.113479833306793,6685,25,1,,0.217042690941452,0.703083308043315,0.289390254588603,1,"",总贸易,Negative strategic positioning,4,25,0,25,-0.179176838527897,-0.038210698540494
Trade_Total,政策转向/国内政治,,,,,,,25,,1,,,,,,总贸易,Policy shift / domestic politics,6,,,,,
Trade_Total,疫情/危机援助,,,,,,,25,,1,,,,,,总贸易,Pandemic / crisis aid,14,,,,,
Trade_Total,疫情/灾害冲击,,,,,,,25,,1,,,,,,总贸易,Pandemic / disaster shock,7,,,,,
Trade_Total,科技管制/出口限制,,,,,,,25,,1,,,,,,总贸易,Tech control / export restriction,11,,,,,
Trade_Total,经贸互利合作,-0.0568106625501811,0.0298477686618334,-1.90334705397343,0.0569952747950872,0.0690558690335203,6685,25,0,,0.217042690941452,0.39896692356561,0.289390254588603,1,"",总贸易,Economic win-win cooperation,73,25,0,25,-0.0700282556286881,-0.0193390245908176
Trade_Total,经贸制裁/关税壁垒,,,,,,,25,,1,,,,,,总贸易,Economic sanction / tariff barrier,18,,,,,
Trade_Total,远程通话/视频会晤,,,,,,,25,,1,,,,,,总贸易,Remote talk / video meeting,16,,,,,
