variable,actual_coef,placebo_mean,placebo_sd,placebo_pvalue,n_placebo
Cat_科技管制_对华,0.232689334530566,0.00620984190474299,0.0747788560107805,0.004,1000
Cat_经贸制裁_对华,0.237656153840226,0.000471268541734353,0.0891441016908541,0.004,1000
