base_var,trade,horizon,estimate,se,pvalue,ci_lower,ci_upper,n,sig,trade_label
Cat_科技管制_对华,Trade_Total,-3,0.0638856211268739,0.0390329399697303,0.101690982379659,-0.0126189412137975,0.140390183467545,6610,"",总贸易
Cat_科技管制_对华,Trade_Total,-2,0.00676292309885736,0.0545447882842431,0.901324429582827,-0.100144861938259,0.113670708135974,6635,"",总贸易
Cat_科技管制_对华,Trade_Total,-1,0.0214943414510725,0.0416080338352515,0.605441604933507,-0.0600574048660204,0.103046087768165,6660,"",总贸易
Cat_科技管制_对华,Trade_Total,0,0.039134816041888,0.0381581789852261,0.305082791375015,-0.0356552147691552,0.113924846852931,6685,"",总贸易
Cat_科技管制_对华,Trade_Total,1,0.0414297828398283,0.0444564968000405,0.351379215410489,-0.0457049508882511,0.128564516567908,6660,"",总贸易
Cat_科技管制_对华,Trade_Total,3,0.0846583648952643,0.0370454126221387,0.0222976418646867,0.0120493561558724,0.157267373634656,6610,**,总贸易
Cat_科技管制_对华,Trade_Total,6,0.0573417553308569,0.0435115143961565,0.187553049959444,-0.0279408128856099,0.142624323547324,6535,"",总贸易
Cat_科技管制_对华,Trade_Total,12,-0.0239355206259575,0.0477803042379682,0.616406647851926,-0.117584916932375,0.0697138756804601,6385,"",总贸易
Cat_经贸制裁_对华,Trade_Total,-3,0.011140344668624,0.0358075953099727,0.755711825694294,-0.0590425421389225,0.0813232314761705,6610,"",总贸易
Cat_经贸制裁_对华,Trade_Total,-2,-0.0271540620245519,0.0390472818826553,0.48679531912044,-0.103686734514556,0.0493786104654524,6635,"",总贸易
Cat_经贸制裁_对华,Trade_Total,-1,0.0110310517106938,0.0507567317149,0.82794977885619,-0.0884521424505102,0.110514245871898,6660,"",总贸易
Cat_经贸制裁_对华,Trade_Total,0,-0.00263963310638481,0.0338779350824186,0.93789487390436,-0.0690403858679253,0.0637611196551557,6685,"",总贸易
Cat_经贸制裁_对华,Trade_Total,1,0.0299848019644461,0.0312882228153058,0.337890590452267,-0.0313401147535533,0.0913097186824455,6660,"",总贸易
Cat_经贸制裁_对华,Trade_Total,3,0.0443198252770376,0.0331336329650365,0.181024129672684,-0.0206220953344339,0.109261745888509,6610,"",总贸易
Cat_经贸制裁_对华,Trade_Total,6,0.0244832658200079,0.0290557445259436,0.399434948979507,-0.0324659934508416,0.0814325250908574,6535,"",总贸易
Cat_经贸制裁_对华,Trade_Total,12,-0.153607187635141,0.0552872165792195,0.00546358862517617,-0.261970132130411,-0.0452442431398707,6385,***,总贸易
Cat_科技管制_对华,Trade_Exports,-3,0.0787251154029365,0.0389196610367202,0.0430979456450791,0.00244257977096495,0.155007651034908,6610,**,出口
Cat_科技管制_对华,Trade_Exports,-2,0.0206973921859445,0.059138048087255,0.726350431715715,-0.0952131820650753,0.136607966436964,6635,"",出口
Cat_科技管制_对华,Trade_Exports,-1,0.0251696902240832,0.0541813484994369,0.642257119492273,-0.0810257528348131,0.131365133282979,6660,"",出口
Cat_科技管制_对华,Trade_Exports,0,0.062016649196872,0.0426135940318362,0.145579175843161,-0.0215059951055269,0.145539293499271,6685,"",出口
Cat_科技管制_对华,Trade_Exports,1,0.0607816252067631,0.052874067087237,0.250327380580611,-0.0428515462842214,0.164414796697748,6660,"",出口
Cat_科技管制_对华,Trade_Exports,3,0.0922249115449417,0.0505793890483447,0.0682474578010767,-0.00691069098981385,0.191360514079697,6610,*,出口
Cat_科技管制_对华,Trade_Exports,6,0.0568518632542402,0.075458837948709,0.451200230565334,-0.0910474591252294,0.20475118563371,6535,"",出口
Cat_科技管制_对华,Trade_Exports,12,-0.0422424972676235,0.0403193365705124,0.294777666661442,-0.121268396945828,0.0367834024105808,6385,"",出口
Cat_经贸制裁_对华,Trade_Exports,-3,0.00324412148835152,0.0416189278843937,0.937869239348408,-0.0783289771650601,0.0848172201417631,6610,"",出口
Cat_经贸制裁_对华,Trade_Exports,-2,-0.0465969348268245,0.0435630994796749,0.284780338055186,-0.131980609806987,0.0387867401533382,6635,"",出口
Cat_经贸制裁_对华,Trade_Exports,-1,-0.00480456071856098,0.0403954670381889,0.905324384384534,-0.0839796761134111,0.0743705546762892,6660,"",出口
