valence,mean,se,n,scheme
negative,-0.46680468316035034,0.08703913855848762,111,category_based
positive,0.23067330406225364,0.06504050342927399,170,category_based
negative,-0.46680468316035034,0.08703913855848762,111,impact_based
positive,0.2214088098128735,0.06486329585599425,173,impact_based
negative,-0.46470035432795304,0.10822231703773719,75,strict_cat
positive,0.2615239127880657,0.07366745135738213,139,strict_cat
