label,n,cum,h0,h0p
GD_-Total,6535,0.0616669359372328,0.0108974419041395,0.0113636091507381
GD_abs-Total,6535,-0.0637018720646689,-0.0101887633977572,0.0730793474357703
GD_C2P-Total,6535,0.0551625155544231,0.00989449182914161,0.0166991256704536
GD_C2P_abs-Total,6535,-0.0576844089779433,-0.00987979393352983,0.129285362649324
GD_P2C-Total,6535,0.070700713533551,0.0114441146551063,0.0108870557387431
GD_P2C_abs-Total,6535,-0.0680410223278391,-0.0116146232612862,0.0283938586012064
GD_-Exports,6535,0.0678045154434463,0.0120229768373395,0.000391439742562281
GD_abs-Exports,6535,-0.0842911205395966,-0.0149496009947798,0.00351146584780031
GD_C2P-Exports,6535,0.0640840313522462,0.0119970600468058,0.00124657176175126
GD_C2P_abs-Exports,6535,-0.0851709993905742,-0.0157258192866093,0.00169555829378027
GD_P2C-Exports,6535,0.0765037044283996,0.0120341068758362,0.000961147965710414
GD_P2C_abs-Exports,6535,-0.0852849941771671,-0.0156028946953731,0.00454255748403747
GD_-Imports,6535,0.0688944041639755,0.0129501271717054,0.0680605695694071
GD_abs-Imports,6535,-0.0552327186511143,-0.00736447752001915,0.367679003260267
GD_C2P-Imports,6535,0.0584686738805035,0.0105584753620695,0.11424869516599
GD_C2P_abs-Imports,6535,-0.044655894576158,-0.0069099124945175,0.477163006003326
GD_P2C-Imports,6535,0.0769453054660101,0.0135043457816504,0.0523306666015122
GD_P2C_abs-Imports,6535,-0.0575627861931726,-0.00827170651777854,0.303919601603849
IW_-Total,6533,0.00879141931087317,0.00271747361323835,0.617871099575144
IW_abs-Total,6533,-0.0428637682215334,-0.00924023943106096,0.116594850014071
IW_C2P-Total,6525,0.0104122484431735,0.00330378447102864,0.579684771961384
IW_C2P_abs-Total,6525,-0.0246179263643101,-0.00898782579059496,0.208014525023039
IW_P2C-Total,6531,0.00225448689472784,-0.000378426702013634,0.932618702009248
IW_P2C_abs-Total,6531,-0.0255484361271015,-0.00621775047074367,0.201892170530836
IW_-Exports,6533,0.0345062401267909,0.0090797890492026,0.0507373587779406
IW_abs-Exports,6533,-0.0645090833032217,-0.0118060153142762,0.0187390359034476
IW_C2P-Exports,6525,0.0348036986739292,0.00974873529104079,0.0793916589464421
IW_C2P_abs-Exports,6525,-0.0465094515359103,-0.00939497879528181,0.187531437779141
IW_P2C-Exports,6531,0.0185182413067452,0.00522802454963858,0.034211834982531
IW_P2C_abs-Exports,6531,-0.0152579857165028,-0.00595771909404316,0.259391316586572
IW_-Imports,6533,-0.00997847166363955,-0.00257217961255232,0.706416640368511
IW_abs-Imports,6533,-0.020072840664938,-0.00714769335460572,0.492167732088617
IW_C2P-Imports,6525,-0.0052784283345899,-0.00209927905436864,0.76817331800521
IW_C2P_abs-Imports,6525,-0.00574333159966069,-0.00964168282590646,0.384934246694447
IW_P2C-Imports,6531,-0.0104043735089113,-0.00543306229803779,0.445283121215915
IW_P2C_abs-Imports,6531,-0.040033910265454,-0.00674258281860334,0.344813819508441
PH_-Total,4842,-0.00384763040696539,-0.0031736856106416,0.264601259525394
PH_abs-Total,4842,0.0190916012894869,0.00770731249617174,0.00407525587932269
PH_C2P-Total,4840,-0.0013824685643898,0.000123917954649729,0.962855721686738
PH_C2P_abs-Total,4840,0.0110026538138687,0.00254686136120488,0.464574045110606
PH_P2C-Total,4798,0.0129673657356344,0.0021473085397063,0.538031968159374
PH_P2C_abs-Total,4798,-0.0242278050965074,-0.00278740452721837,0.641188316859517
PH_-Exports,4842,-0.0135816040365869,-0.00431521531756103,0.0864697440931575
PH_abs-Exports,4842,0.0145924662801559,0.00646997729831645,0.0527162988495659
PH_C2P-Exports,4840,-0.0134435164345529,-0.00269107794537287,0.320805038801774
PH_C2P_abs-Exports,4840,0.0158378811138782,0.00389472008494485,0.255469365382204
PH_P2C-Exports,4798,0.0081403447162283,0.00497122196863485,0.0549837974496338
PH_P2C_abs-Exports,4798,-0.0251142272482344,-0.00624787054673648,0.227895989525013
PH_-Imports,4842,0.0111671117433984,-0.000324597444552188,0.95111949773551
PH_abs-Imports,4842,0.0209050523349592,0.00976303394256727,0.055744139798911
PH_C2P-Imports,4840,0.0164378487311032,0.00416388591667601,0.373184828485398
PH_C2P_abs-Imports,4840,0.00255551932673587,0.00203053842179227,0.710439305857538
PH_P2C-Imports,4798,0.0253279056473754,0.000632974026060778,0.905011581336376
PH_P2C_abs-Imports,4798,-0.026920901640632,0.000333608807922026,0.968937000694369
TS_-Total,3000,-0.0160052437734481,-0.00270845494912895,0.390662164385699
TS_abs-Total,3000,0.0168612796256599,0.00776801941901676,0.028167440547342
TS_-Exports,3000,-0.039053474897839,-0.00366568123459294,0.178108824694551
TS_abs-Exports,3000,0.0289547685711667,0.00861532851004853,0.0522118834573401
TS_-Imports,3000,0.00936979700696901,-0.00437961097936921,0.433862551798746
TS_abs-Imports,3000,0.00804427190653497,0.00844791966677853,0.105528748414186
