db,rho,cum_ar,cum_d3
GDELT,0.354410143357366,,0.0459686456286101
ICEWS,0.288711495347001,,0.00341053229635717
Phoenix,0.397281743707053,,0.00307496483405678
Tsinghua,0.209077641694227,,-0.0202985938340323
