db,category_4,mean,sd,n,se,ci_lower,ci_upper
GDELT,Chinese outbound visit,0.3348178998900692,0.7084658703379401,121,0.06440598821254001,0.2085821629934908,0.4610536367866476
GDELT,Partner inbound visit,0.306614929405464,0.7801027142985727,159,0.06186616945975114,0.18535723726435174,0.42787262154657624
GDELT,Remote talk,0.21975365148879303,0.6770367631075012,18,0.15957909543530144,-0.0930213755643978,0.5325286785419838
GDELT,Third-party meeting,0.18199894048050155,0.7308975103779927,134,0.06313992815515723,0.058244681296393375,0.30575319966460973
ICEWS,Chinese outbound visit,0.2861786339227674,0.6848459726245084,121,0.06225872478404622,0.1641515333460368,0.40820573449949793
ICEWS,Partner inbound visit,0.2582072284487627,0.7928416928301145,158,0.06307509839292143,0.1345800355986367,0.38183442129888867
ICEWS,Remote talk,0.2875184217125572,0.7982435995107824,18,0.1881478207509443,-0.08125130695929361,0.656288150384408
ICEWS,Third-party meeting,0.15467605384741218,0.7469247717319113,134,0.0645244726583763,0.028208087436994628,0.2811440202578297
