trade,variable,estimate,se,z,pvalue,sig,trade_label
Trade_Total,Event_Positive,-0.00464624893615134,0.0179675886280188,-0.258590567289922,0.795951161974968,"",总贸易
Trade_Total,Event_Negative,-0.0139370564333836,0.019566615516432,-0.712287540054094,0.476286738122705,"",总贸易
Trade_Total,Wald_Pos_Equals_Neg,-0.018583305369535,0.0277740815219018,0.669088025642927,0.503439327952223,"",总贸易
Trade_Exports,Event_Positive,-5.07042652140072e-05,0.0192169260086788,-0.00263852112409175,0.997894767174435,"",出口
Trade_Exports,Event_Negative,-0.0167056520342221,0.0177800225604106,-0.939574287797549,0.347435970287398,"",出口
Trade_Exports,Wald_Pos_Equals_Neg,-0.0167563562994362,0.0247289964582351,0.677599526844369,0.498025646193418,"",出口
Trade_Imports,Event_Positive,-0.00309961448352268,0.0203527035997474,-0.152294974882902,0.878954288153296,"",进口
Trade_Imports,Event_Negative,-0.0069090292371179,0.0209804801051768,-0.329307489746773,0.741923283555838,"",进口
Trade_Imports,Wald_Pos_Equals_Neg,-0.0100086437206406,0.0290564882269305,0.344454692613687,0.730504363619126,"",进口
