config,mean_spillover,se,n
baseline,-0.04696728965522298,0.019121652396211462,720
longer_pre,-0.06759346030406972,0.01786032067757469,720
neg_only,-0.04143333900091106,0.021858038342478434,576
pos_only,-0.06910309227247065,0.0387726755432599,144
