db,spec,trade,h,Est,SE,pv,cum,n
Phoenix,PH-Total,Trade_Total,0,-0.000558553378549171,0.00213345193238158,0.79346997877221,0.00760872724935859,4767
Phoenix,PH-Total,Trade_Total,1,-0.000641471867294892,0.00201085346936786,0.749722888590182,0.00760872724935859,4742
Phoenix,PH-Total,Trade_Total,2,0.0017898113054688,0.0021724747366328,0.410020086699103,0.00760872724935859,4717
Phoenix,PH-Total,Trade_Total,3,0.00248517877443204,0.00189145191508283,0.188879840356714,0.00760872724935859,4692
Phoenix,PH-Total,Trade_Total,4,0.00278687412279051,0.00185911532877297,0.133865225586185,0.00760872724935859,4667
Phoenix,PH-Total,Trade_Total,5,0.00230680049986236,0.0019531415572666,0.237574184139864,0.00760872724935859,4642
Phoenix,PH-Total,Trade_Total,6,-0.00055991220735106,0.00276731266425394,0.839658229699765,0.00760872724935859,4617
Phoenix,PH-Total,Trade_Exports,0,-0.00452820726647955,0.00251345776571674,0.071610756977923,-0.0232192948868193,4767
Phoenix,PH-Total,Trade_Exports,1,-0.0052190602278917,0.0026629152409355,0.050006924408697,-0.0232192948868193,4742
Phoenix,PH-Total,Trade_Exports,2,-0.00377381793477577,0.00263078837025799,0.151434830223219,-0.0232192948868193,4717
Phoenix,PH-Total,Trade_Exports,3,-0.00153240541404832,0.00265322115969544,0.563558419102491,-0.0232192948868193,4692
Phoenix,PH-Total,Trade_Exports,4,-0.00196532479771043,0.00219292786717452,0.370140393298693,-0.0232192948868193,4667
Phoenix,PH-Total,Trade_Exports,5,-0.00245483812160009,0.00251141753169076,0.328335965826065,-0.0232192948868193,4642
Phoenix,PH-Total,Trade_Exports,6,-0.00374564112431346,0.00325997700728302,0.250565145687412,-0.0232192948868193,4617
Phoenix,PH-Total,Trade_Imports,0,0.0053711045340411,0.00350059397658586,0.124945807238564,0.0475802177144283,4767
Phoenix,PH-Total,Trade_Imports,1,0.00501697020557501,0.00241226954377878,0.0375464675236303,0.0475802177144283,4742
Phoenix,PH-Total,Trade_Imports,2,0.00840541946191709,0.00303696225484174,0.00564523099016184,0.0475802177144283,4717
Phoenix,PH-Total,Trade_Imports,3,0.00781930365861297,0.00224510385468627,0.000496152724400007,0.0475802177144283,4692
Phoenix,PH-Total,Trade_Imports,4,0.00867080222493798,0.00311556308655251,0.00538486751984626,0.0475802177144283,4667
Phoenix,PH-Total,Trade_Imports,5,0.00843792248684863,0.00302888709609218,0.0053393150736783,0.0475802177144283,4642
Phoenix,PH-Total,Trade_Imports,6,0.00385869514249558,0.00392771951278482,0.325889850520939,0.0475802177144283,4617
Phoenix,PH-Export,Trade_Total,0,0.00377176101831887,0.00277196948851427,0.173615114286264,0.0159498534122579,4765
