country,avg_shock,db,node,valence,node_date
Singapore,-0.07983234150932124,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
South Korea,-0.47819663547813807,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Spain,0.040499259061841944,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Thailand,0.5242863268859409,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
United Arab Emirates,0.6284022346139757,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
United Kingdom,0.4387776006503518,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Vietnam,0.5839546223035585,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Australia,-0.2312074800669223,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Belgium,-0.3546197442427487,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Brazil,0.2913118338368798,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Canada,-0.18965410348040582,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
France,0.21331759462256814,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Germany,0.9641002210418089,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
India,0.5347628847782744,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Indonesia,-0.19695455522899316,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Iran,0.27475737471810896,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Italy,0.03723091536347757,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Japan,0.8806123967237041,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Malaysia,0.14495076490596845,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Mexico,-0.2301562304498602,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Netherlands,-1.1981256541356085,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Philippines,0.019662958649922783,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Russia,0.8847516409600223,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Saudi Arabia,0.5449684522982114,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Singapore,-0.006074428524239973,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
South Korea,1.0374431220567524,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Spain,-0.9492067957668558,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Thailand,-0.008166489891014,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
United Arab Emirates,-0.6531088944054273,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
United Kingdom,0.22484789383248288,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Vietnam,-0.2679364969737538,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Australia,-0.29042675804898854,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Belgium,-0.2867727300417138,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Brazil,0.019737339270634906,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Canada,0.5081695229201225,GDELT,US bans ZTE from tech exports,negative,2018-04-01
France,0.16842900645699882,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Germany,0.3017083431015214,GDELT,US bans ZTE from tech exports,negative,2018-04-01
India,0.4978352141039956,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Indonesia,0.22186029145046457,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Iran,-0.04392091794497361,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Italy,0.08771497520000547,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Japan,0.29279497829030515,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Malaysia,0.17759076140572852,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Mexico,0.09595027375569375,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Netherlands,-0.8436022642380675,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Philippines,-0.06561729848282406,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Russia,0.7809705039883624,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Saudi Arabia,0.4587073065646042,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Singapore,0.2462751530260519,GDELT,US bans ZTE from tech exports,negative,2018-04-01
South Korea,0.4193118928366809,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Spain,-0.14847455312697683,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Thailand,0.5894277842130667,GDELT,US bans ZTE from tech exports,negative,2018-04-01
United Arab Emirates,-0.6647717249508304,GDELT,US bans ZTE from tech exports,negative,2018-04-01
United Kingdom,0.009566980189827776,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Vietnam,-0.3380925647427028,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Australia,0.13301426718983003,GDELT,Trade War Begins,negative,2018-07-01
Belgium,-0.5769360372970652,GDELT,Trade War Begins,negative,2018-07-01
Brazil,-0.049667981390394474,GDELT,Trade War Begins,negative,2018-07-01
Canada,-0.8329849115403342,GDELT,Trade War Begins,negative,2018-07-01
France,-0.5483790179317353,GDELT,Trade War Begins,negative,2018-07-01
Germany,-0.7172806716626391,GDELT,Trade War Begins,negative,2018-07-01
India,-0.15059082849868993,GDELT,Trade War Begins,negative,2018-07-01
Indonesia,0.12416483288918594,GDELT,Trade War Begins,negative,2018-07-01
Iran,-0.9837349411870739,GDELT,Trade War Begins,negative,2018-07-01
Italy,-0.1087986853811393,GDELT,Trade War Begins,negative,2018-07-01
Japan,-0.4598244803105054,GDELT,Trade War Begins,negative,2018-07-01
Malaysia,0.6035413425516315,GDELT,Trade War Begins,negative,2018-07-01
Mexico,-0.29108132896111844,GDELT,Trade War Begins,negative,2018-07-01
Netherlands,0.078748273388487125,GDELT,Trade War Begins,negative,2018-07-01
Philippines,0.7682332415263282,GDELT,Trade War Begins,negative,2018-07-01
Russia,-1.0314699637401055,GDELT,Trade War Begins,negative,2018-07-01
Saudi Arabia,-0.17988671705731482,GDELT,Trade War Begins,negative,2018-07-01
Singapore,-0.20580734850973995,GDELT,Trade War Begins,negative,2018-07-01
South Korea,-1.1693703091859338,GDELT,Trade War Begins,negative,2018-07-01
Spain,1.4726120440028112,GDELT,Trade War Begins,negative,2018-07-01
Thailand,-0.5402534098941633,GDELT,Trade War Begins,negative,2018-07-01
United Arab Emirates,0.8144316015956479,GDELT,Trade War Begins,negative,2018-07-01
United Kingdom,-0.8643998856406645,GDELT,Trade War Begins,negative,2018-07-01
Vietnam,0.6554756026377178,GDELT,Trade War Begins,negative,2018-07-01
