db,spec,trade,h,Est,SE,pv,cum,n
ICEWS,IW-Total,Trade_Total,0,0.00240615117183937,0.00468966180165447,0.607898419532638,0.000123027292198705,6005
ICEWS,IW-Total,Trade_Total,1,5.8539315658821e-05,0.0039446477614087,0.988159677458303,0.000123027292198705,5980
ICEWS,IW-Total,Trade_Total,2,0.00206933313064562,0.00321092266893364,0.519272764932199,0.000123027292198705,5955
ICEWS,IW-Total,Trade_Total,3,-0.00112349132178664,0.00381303819009955,0.768265345968312,0.000123027292198705,5930
ICEWS,IW-Total,Trade_Total,4,-0.00162952621973865,0.00446666828674677,0.715246393878287,0.000123027292198705,5905
ICEWS,IW-Total,Trade_Total,5,-0.00192579514101296,0.00540472657267256,0.721603292761973,0.000123027292198705,5880
ICEWS,IW-Total,Trade_Total,6,0.000267816356593132,0.00512194152905633,0.958299171615719,0.000123027292198705,5855
ICEWS,IW-Total,Trade_Exports,0,0.0067384356680159,0.00484213403227605,0.164035928318867,0.016549404516477,6005
ICEWS,IW-Total,Trade_Exports,1,0.00336182433185344,0.00435061586290436,0.439685870519603,0.016549404516477,5980
ICEWS,IW-Total,Trade_Exports,2,0.00412610184913717,0.00310620508715691,0.184065238797814,0.016549404516477,5955
ICEWS,IW-Total,Trade_Exports,3,0.000513328657958868,0.00430869281386286,0.905166096543054,0.016549404516477,5930
ICEWS,IW-Total,Trade_Exports,4,-0.000493606100633793,0.00361156749033034,0.891288760600105,0.016549404516477,5905
ICEWS,IW-Total,Trade_Exports,5,0.000114231462159268,0.00460688682125265,0.980217838042264,0.016549404516477,5880
ICEWS,IW-Total,Trade_Exports,6,0.00218908864798611,0.00450453146272456,0.626985053295321,0.016549404516477,5855
ICEWS,IW-Total,Trade_Imports,0,-0.000457965421780339,0.00590394518419344,0.938170592873363,-0.00459009201768325,6005
ICEWS,IW-Total,Trade_Imports,1,-0.00092070969012185,0.0056571385672102,0.870713831575316,-0.00459009201768325,5980
ICEWS,IW-Total,Trade_Imports,2,0.00094228181841606,0.00571500521446008,0.869039569683244,-0.00459009201768325,5955
ICEWS,IW-Total,Trade_Imports,3,-0.000445276240028562,0.00629194268305249,0.943581383212761,-0.00459009201768325,5930
ICEWS,IW-Total,Trade_Imports,4,-0.00171294162703349,0.00797563019610837,0.829945125439697,-0.00459009201768325,5905
ICEWS,IW-Total,Trade_Imports,5,-0.00194988128465391,0.00831496887393649,0.81459486491461,-0.00459009201768325,5880
ICEWS,IW-Total,Trade_Imports,6,-4.55995724811583e-05,0.00749979062440881,0.995148801810926,-0.00459009201768325,5855
ICEWS,IW-Export,Trade_Total,0,0.00114547337655558,0.00512883435444707,0.823270971954046,-0.00328558795090769,5997
ICEWS,IW-Export,Trade_Total,1,-0.00013824311925567,0.00433647158036379,0.974568409291855,-0.00328558795090769,5972
ICEWS,IW-Export,Trade_Total,2,0.00033019558557288,0.00342166327724016,0.9231222950024,-0.00328558795090769,5947
ICEWS,IW-Export,Trade_Total,3,-0.00136012997953768,0.00446370888824849,0.760588185512654,-0.00328558795090769,5922
ICEWS,IW-Export,Trade_Total,4,-0.00201626923358988,0.00507938465699204,0.691403244045467,-0.00328558795090769,5897
ICEWS,IW-Export,Trade_Total,5,-0.00181961164554927,0.00510197458479806,0.72135495503089,-0.00328558795090769,5872
ICEWS,IW-Export,Trade_Total,6,0.000572997064896345,0.0051762044985955,0.911855590047107,-0.00328558795090769,5847
ICEWS,IW-Export,Trade_Exports,0,0.00635956421408707,0.00541983354363481,0.240640500711424,0.0165195761620648,5997
ICEWS,IW-Export,Trade_Exports,1,0.00327149139218588,0.00510667476700427,0.52176280622122,0.0165195761620648,5972
ICEWS,IW-Export,Trade_Exports,2,0.0019306494698204,0.00349226195800679,0.580375452514823,0.0165195761620648,5947
ICEWS,IW-Export,Trade_Exports,3,0.00141330503939297,0.00476493346550948,0.766767780833124,0.0165195761620648,5922
