db,country,ally,category,event,post_month,shock
GDELT,Australia,US Ally,Security threat,AUKUS security pact announced,1,-0.07992468316150769
GDELT,Australia,US Ally,Security threat,AUKUS security pact announced,3,0.04732192181924799
GDELT,Australia,US Ally,Security threat,AUKUS security pact announced,6,0.2325653387183162
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts barley tariffs,0,0.2653106824016829
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts barley tariffs,1,0.37578877979174047
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts barley tariffs,3,-0.09926455172611737
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts barley tariffs,6,-0.32889792750801805
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts wine tariffs,0,0.7555685750037628
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts wine tariffs,1,0.4127082021136603
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts wine tariffs,3,0.04025486551711971
GDELT,Australia,US Ally,Economic win-win cooperation,China lifts wine tariffs,6,0.06791995736930273
GDELT,Belgium,Non-Ally,Economic win-win cooperation,Belgium-Luxembourg Economic Union and China sign BIT,0,0.782341300605125
GDELT,Belgium,Non-Ally,Economic win-win cooperation,Belgium-Luxembourg Economic Union and China sign BIT,1,0.7070429066104453
GDELT,Belgium,Non-Ally,Economic win-win cooperation,Belgium-Luxembourg Economic Union and China sign BIT,3,0.46227232554154385
GDELT,Belgium,Non-Ally,Economic win-win cooperation,Belgium-Luxembourg Economic Union and China sign BIT,6,2.362896186848899
GDELT,Belgium,Non-Ally,Pandemic / crisis aid,Belgium provides emergency aid after Wenchuan earthquake,0,0.6116338549464138
GDELT,Belgium,Non-Ally,Pandemic / crisis aid,Belgium provides emergency aid after Wenchuan earthquake,1,0.9498996938264856
GDELT,Belgium,Non-Ally,Pandemic / crisis aid,Belgium provides emergency aid after Wenchuan earthquake,3,-0.006038085190538917
GDELT,Belgium,Non-Ally,Pandemic / crisis aid,Belgium provides emergency aid after Wenchuan earthquake,6,-1.5394882191162749
GDELT,Belgium,Non-Ally,Strategic partnership upgrade,China and Belgium establish all-round friendly cooperative partnership,0,1.9867110265837007
GDELT,Belgium,Non-Ally,Strategic partnership upgrade,China and Belgium establish all-round friendly cooperative partnership,1,-1.173403040237998
GDELT,Belgium,Non-Ally,Strategic partnership upgrade,China and Belgium establish all-round friendly cooperative partnership,3,-0.7940271735151774
GDELT,Belgium,Non-Ally,Strategic partnership upgrade,China and Belgium establish all-round friendly cooperative partnership,6,-0.506805919176064
GDELT,Belgium,Non-Ally,Economic win-win cooperation,China-Belgium industrial investment fund agreement signed,0,1.9867110265837007
GDELT,Belgium,Non-Ally,Economic win-win cooperation,China-Belgium industrial investment fund agreement signed,1,-1.173403040237998
GDELT,Belgium,Non-Ally,Economic win-win cooperation,China-Belgium industrial investment fund agreement signed,3,-0.7940271735151774
