,event_category,db,window,n_events,n_hit,hit_rate,quadclass,coop_conf
# Table S9-1 | Hit rate by event category across four databases and three windows,,,,,,,,
,Economic win-win cooperation,ICEWS,W_strict,67.0,40.0,0.597,Material cooperation,Cooperation
,Economic win-win cooperation,ICEWS,W_1m,67.0,40.0,0.597,Material cooperation,Cooperation
,Economic win-win cooperation,ICEWS,W_2m,67.0,39.0,0.582,Material cooperation,Cooperation
,Economic win-win cooperation,Phoenix,W_strict,56.0,36.0,0.643,Material cooperation,Cooperation
,Economic win-win cooperation,Phoenix,W_1m,56.0,34.0,0.607,Material cooperation,Cooperation
,Economic win-win cooperation,Phoenix,W_2m,56.0,31.0,0.554,Material cooperation,Cooperation
,Economic win-win cooperation,Tsinghua,W_strict,40.0,19.0,0.475,Material cooperation,Cooperation
,Economic win-win cooperation,Tsinghua,W_1m,40.0,18.0,0.45,Material cooperation,Cooperation
,Economic win-win cooperation,Tsinghua,W_2m,40.0,18.0,0.45,Material cooperation,Cooperation
,Military / security cooperation,GDELT,W_strict,11.0,4.0,0.364,Material cooperation,Cooperation
,Military / security cooperation,GDELT,W_1m,11.0,4.0,0.364,Material cooperation,Cooperation
,Military / security cooperation,GDELT,W_2m,11.0,6.0,0.545,Material cooperation,Cooperation
,Military / security cooperation,ICEWS,W_strict,9.0,6.0,0.667,Material cooperation,Cooperation
,Military / security cooperation,ICEWS,W_1m,9.0,5.0,0.556,Material cooperation,Cooperation
,Military / security cooperation,ICEWS,W_2m,9.0,4.0,0.444,Material cooperation,Cooperation
,Military / security cooperation,Phoenix,W_strict,8.0,6.0,0.75,Material cooperation,Cooperation
,Military / security cooperation,Phoenix,W_1m,8.0,6.0,0.75,Material cooperation,Cooperation
,Military / security cooperation,Phoenix,W_2m,8.0,6.0,0.75,Material cooperation,Cooperation
,Military / security cooperation,Tsinghua,W_strict,8.0,3.0,0.375,Material cooperation,Cooperation
,Military / security cooperation,Tsinghua,W_1m,8.0,4.0,0.5,Material cooperation,Cooperation
,Military / security cooperation,Tsinghua,W_2m,8.0,4.0,0.5,Material cooperation,Cooperation
,Pandemic / crisis aid,GDELT,W_strict,13.0,9.0,0.692,Material cooperation,Cooperation
,Pandemic / crisis aid,GDELT,W_1m,13.0,8.0,0.615,Material cooperation,Cooperation
,Pandemic / crisis aid,GDELT,W_2m,13.0,9.0,0.692,Material cooperation,Cooperation
,Pandemic / crisis aid,ICEWS,W_strict,13.0,10.0,0.769,Material cooperation,Cooperation
,Pandemic / crisis aid,ICEWS,W_1m,13.0,8.0,0.615,Material cooperation,Cooperation
,Pandemic / crisis aid,ICEWS,W_2m,13.0,8.0,0.615,Material cooperation,Cooperation
,Pandemic / crisis aid,Phoenix,W_strict,3.0,1.0,0.333,Material cooperation,Cooperation
,Pandemic / crisis aid,Phoenix,W_1m,3.0,2.0,0.667,Material cooperation,Cooperation
,Pandemic / crisis aid,Phoenix,W_2m,3.0,2.0,0.667,Material cooperation,Cooperation
,Pandemic / crisis aid,Tsinghua,W_strict,2.0,0.0,0.0,Material cooperation,Cooperation
,Pandemic / crisis aid,Tsinghua,W_1m,2.0,1.0,0.5,Material cooperation,Cooperation
,Pandemic / crisis aid,Tsinghua,W_2m,2.0,1.0,0.5,Material cooperation,Cooperation
,Cultural / people-to-people cooperation,GDELT,W_strict,16.0,11.0,0.688,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,GDELT,W_1m,16.0,10.0,0.625,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,GDELT,W_2m,16.0,6.0,0.375,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,ICEWS,W_strict,8.0,3.0,0.375,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,ICEWS,W_1m,8.0,2.0,0.25,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,ICEWS,W_2m,8.0,3.0,0.375,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,Phoenix,W_strict,6.0,3.0,0.5,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,Phoenix,W_1m,6.0,3.0,0.5,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,Phoenix,W_2m,6.0,3.0,0.5,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,Tsinghua,W_strict,3.0,0.0,0.0,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,Tsinghua,W_1m,3.0,0.0,0.0,Verbal cooperation,Cooperation
,Cultural / people-to-people cooperation,Tsinghua,W_2m,3.0,0.0,0.0,Verbal cooperation,Cooperation
,High-level visit,GDELT,W_strict,2.0,1.0,0.5,Verbal cooperation,Cooperation
,High-level visit,GDELT,W_1m,2.0,1.0,0.5,Verbal cooperation,Cooperation
,High-level visit,GDELT,W_2m,2.0,1.0,0.5,Verbal cooperation,Cooperation
,High-level visit,ICEWS,W_strict,1.0,0.0,0.0,Verbal cooperation,Cooperation
,High-level visit,ICEWS,W_1m,1.0,1.0,1.0,Verbal cooperation,Cooperation
,High-level visit,ICEWS,W_2m,1.0,1.0,1.0,Verbal cooperation,Cooperation
,High-level visit,Tsinghua,W_strict,2.0,1.0,0.5,Verbal cooperation,Cooperation
,High-level visit,Tsinghua,W_1m,2.0,1.0,0.5,Verbal cooperation,Cooperation
,High-level visit,Tsinghua,W_2m,2.0,1.0,0.5,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,GDELT,W_strict,3.0,2.0,0.667,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,GDELT,W_1m,3.0,2.0,0.667,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,GDELT,W_2m,3.0,2.0,0.667,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,ICEWS,W_strict,1.0,0.0,0.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,ICEWS,W_1m,1.0,0.0,0.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,ICEWS,W_2m,1.0,0.0,0.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,Phoenix,W_strict,1.0,1.0,1.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,Phoenix,W_1m,1.0,0.0,0.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,Phoenix,W_2m,1.0,0.0,0.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,Tsinghua,W_strict,1.0,1.0,1.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,Tsinghua,W_1m,1.0,1.0,1.0,Verbal cooperation,Cooperation
,Multilateral / third-party meeting,Tsinghua,W_2m,1.0,1.0,1.0,Verbal cooperation,Cooperation
,Strategic partnership upgrade,GDELT,W_strict,45.0,37.0,0.787,Verbal cooperation,Cooperation
,Strategic partnership upgrade,GDELT,W_1m,45.0,33.0,0.702,Verbal cooperation,Cooperation
