Panel A: Between-country vs within-country Spearman rho
Database,between_rho,CI_95_low,CI_95_high,within_rho_mean,within_rho_sd,N_countries
GDELT,+0.132,-0.413,+0.589,+0.402,0.359,17
ICEWS,-0.005,-0.589,+0.541,+0.347,0.324,17
Phoenix,+0.348,-0.194,+0.749,+0.349,0.312,17
Tsinghua,+0.394,-0.463,+0.951,+0.315,0.382,10

"Panel B: Fixed effects panel regression (polling_z ~ score + country FE + year FE, clustered SE)"
Database,beta,SE,p,within_R2,N,N_countries
GDELT,0.240,0.066,0.002,0.074,170,17
ICEWS,0.191,0.050,0.002,0.089,170,17
Phoenix,0.120,0.025,<0.001,0.111,170,17
Tsinghua,0.141,0.053,0.027,0.120,113,10

Panel C: Same-equation cross-validation
Specification,GDELT_beta,GDELT_p,ICEWS_beta,ICEWS_p,Phoenix_beta,Phoenix_p,R2,N
3-database,0.111,0.204,0.077,0.256,0.090,0.002,0.153,170

Notes:
Tsinghua covers only 10 countries; cluster-robust SE reliability limited (Angrist-Pischke threshold: 20 clusters). Labeled exploratory.
Phoenix 2019 annual mean uses only 3 months (data truncated at 2019-03).
