Item,GDELT,ICEWS,Phoenix,Tsinghua index
"h = 0 coefficient (p), total trade",0.0127 (0.026),0.0024 (0.608),−0.0006 (0.793),−0.0050 (0.346)
"Cumulative effect, h = 0–6, total trade",0.0823,0.0001,0.0076,−0.0333
"Cumulative, imports / exports",0.1063 / 0.0794,—,—,—
"Horse-race import β (p), 3-db 25-country",0.0113 (0.014),0.0029 (0.533),0.0037 (0.271),—
"Horse-race import β (p), 4-db 11-country",0.0174 (0.008),0.0041 (0.592),0.0027 (0.584),0.0048 (0.649)
"Horse-race export β (p), 3-db 25-country",0.0010 (0.737),−0.0013 (0.659),−0.0044 (0.088),—
"Horse-race export β (p), 4-db 11-country",0.0023 (0.605),−0.0058 (0.186),−0.0062 (0.005),0.0040 (0.509)
Signal gradient (score dimension): outbound visits,"+0.399 [0.249, 0.549]",+0.502,—,—
Signal gradient: inbound / meetings / remote talks,+0.369 / +0.168 / n.s.,+0.459 / +0.233 / —,—,—
