方向,评价方,被评价方,年份,月份,指标类型,好感度数值,恶感度数值,有效样本量,数据来源机构,调查波次
Jordan→中国,Jordan,中国,2017.0,,好感度%（四级题，1-2档）,33.2,62.2,1477,Pew Research Center,Pew_2017_38国
Kenya→中国,Kenya,中国,2009.0,,好感度%（四级题，1-2档）,73.0,13.6,867,Pew Research Center,Pew_2009春_25国
Kenya→中国,Kenya,中国,2010.0,,好感度%（四级题，1-2档）,86.3,9.3,958,Pew Research Center,Pew_2010_22国
Kenya→中国,Kenya,中国,2011.0,,好感度%（四级题，1-2档）,71.0,21.4,925,Pew Research Center,Pew_2011_23国
Kenya→中国,Kenya,中国,2013.0,,好感度%（四级题，1-2档）,78.4,13.4,733,Pew Research Center,Pew_2013_39国
Kenya→中国,Kenya,中国,2014.0,,好感度%（四级题，1-2档）,76.5,15.6,934,Pew Research Center,Pew_2014_44国
Kenya→中国,Kenya,中国,2015.0,,影响力正面%（1-2档）,83.4,9.7,2151,Afrobarometer,R6
Kenya→中国,Kenya,中国,2016.0,,好感度%（四级题，1-2档）,63.6,20.9,950,Pew Research Center,Pew_2016_19国
Kenya→中国,Kenya,中国,2017.0,,好感度%（四级题，1-2档）,58.8,19.0,869,Pew Research Center,Pew_2017_38国
Kenya→中国,Kenya,中国,2018.0,,好感度%（四级题，1-2档）,68.5,18.0,899,Pew Research Center,Pew_2018_27国
Kenya→中国,Kenya,中国,2019.0,,好感度%（四级题，1-2档）,60.1,26.0,877,Pew Research Center,Pew_2019_34国
Kenya→中国,Kenya,中国,2020.0,,影响力正面%（1-2档）,74.2,16.7,2099,Afrobarometer,R8
Kenya→中国,Kenya,中国,2022.0,,影响力正面%（1-2档）,63.3,28.1,2069,Afrobarometer,R9
Lebanon→中国,Lebanon,中国,2005.0,,好感度%（四级题，1-2档）,66.6,27.9,945,Pew Research Center,Pew_2005_22国
Lebanon→中国,Lebanon,中国,2008.0,,好感度%（四级题，1-2档）,52.4,40.8,932,Pew Research Center,Pew_2008_24国
Lebanon→中国,Lebanon,中国,2009.0,,好感度%（四级题，1-2档）,55.4,40.4,958,Pew Research Center,Pew_2009春_25国
Lebanon→中国,Lebanon,中国,2010.0,,好感度%（四级题，1-2档）,56.6,41.2,978,Pew Research Center,Pew_2010_22国
Lebanon→中国,Lebanon,中国,2011.0,,好感度%（四级题，1-2档）,60.6,35.9,965,Pew Research Center,Pew_2011_23国
Lebanon→中国,Lebanon,中国,2012.0,,好感度%（四级题，1-2档）,58.9,39.4,983,Pew Research Center,Pew_2012_21国
Lebanon→中国,Lebanon,中国,2013.0,,好感度%（四级题，1-2档）,55.9,42.2,981,Pew Research Center,Pew_2013_39国
Lebanon→中国,Lebanon,中国,2014.0,,好感度%（四级题，1-2档）,52.5,44.3,968,Pew Research Center,Pew_2014_44国
Lebanon→中国,Lebanon,中国,2017.0,,好感度%（四级题，1-2档）,62.1,33.4,1483,Pew Research Center,Pew_2017_38国
Lebanon→中国,Lebanon,中国,2019.0,,好感度%（四级题，1-2档）,67.0,24.2,905,Pew Research Center,Pew_2019_34国
Lesotho→中国,Lesotho,中国,2015.0,,影响力正面%（1-2档）,56.2,36.5,1015,Afrobarometer,R6
Lesotho→中国,Lesotho,中国,2020.0,,影响力正面%（1-2档）,73.7,23.5,894,Afrobarometer,R8
Lesotho→中国,Lesotho,中国,2022.0,,影响力正面%（1-2档）,62.3,33.9,941,Afrobarometer,R9
Liberia→中国,Liberia,中国,2015.0,,影响力正面%（1-2档）,86.6,7.0,1125,Afrobarometer,R6
Liberia→中国,Liberia,中国,2020.0,,影响力正面%（1-2档）,82.9,10.9,1152,Afrobarometer,R8
Liberia→中国,Liberia,中国,2022.0,,影响力正面%（1-2档）,83.8,8.1,1140,Afrobarometer,R9
Lithuania→中国,Lithuania,中国,2011.0,,好感度%（四级题，1-2档）,52.4,35.3,658,Pew Research Center,Pew_2011_23国
Lithuania→中国,Lithuania,中国,2019.0,,好感度%（四级题，1-2档）,43.8,34.5,803,Pew Research Center,Pew_2019_34国
Madagascar→中国,Madagascar,中国,2015.0,,影响力正面%（1-2档）,44.6,40.8,1173,Afrobarometer,R6
Madagascar→中国,Madagascar,中国,2022.0,,影响力正面%（1-2档）,43.6,41.8,943,Afrobarometer,R9
Malawi→中国,Malawi,中国,2015.0,,影响力正面%（1-2档）,63.7,32.5,1886,Afrobarometer,R6
Malawi→中国,Malawi,中国,2020.0,,影响力正面%（1-2档）,74.3,20.5,803,Afrobarometer,R8
Malawi→中国,Malawi,中国,2022.0,,影响力正面%（1-2档）,65.3,29.6,619,Afrobarometer,R9
Malaysia→中国,Malaysia,中国,2013.0,,好感度%（四级题，1-2档）,81.0,7.5,728,Pew Research Center,Pew_2013_39国
Malaysia→中国,Malaysia,中国,2014.0,,好感度%（四级题，1-2档）,73.5,16.9,913,Pew Research Center,Pew_2014_44国
Mali→中国,Mali,中国,2015.0,,影响力正面%（1-2档）,93.0,4.0,1189,Afrobarometer,R6
Mali→中国,Mali,中国,2020.0,,影响力正面%（1-2档）,83.8,10.5,1147,Afrobarometer,R8
Mali→中国,Mali,中国,2022.0,,影响力正面%（1-2档）,80.4,17.1,1028,Afrobarometer,R9
Mauritania→中国,Mauritania,中国,2022.0,,影响力正面%（1-2档）,34.7,51.9,1120,Afrobarometer,R9
Mauritius→中国,Mauritius,中国,2015.0,,影响力正面%（1-2档）,80.7,10.2,1092,Afrobarometer,R6
Mauritius→中国,Mauritius,中国,2020.0,,影响力正面%（1-2档）,88.7,5.0,1009,Afrobarometer,R8
Mauritius→中国,Mauritius,中国,2022.0,,影响力正面%（1-2档）,87.5,5.9,899,Afrobarometer,R9
Mexico→中国,Mexico,中国,2008.0,,好感度%（四级题，1-2档）,38.3,38.8,620,Pew Research Center,Pew_2008_24国
Mexico→中国,Mexico,中国,2009.0,,好感度%（四级题，1-2档）,39.4,43.1,825,Pew Research Center,Pew_2009春_25国
Mexico→中国,Mexico,中国,2010.0,,好感度%（四级题，1-2档）,38.9,30.4,901,Pew Research Center,Pew_2010_22国
Mexico→中国,Mexico,中国,2011.0,,好感度%（四级题，1-2档）,38.5,46.5,680,Pew Research Center,Pew_2011_23国
Mexico→中国,Mexico,中国,2012.0,,好感度%（四级题，1-2档）,40.2,36.2,918,Pew Research Center,Pew_2012_21国
Mexico→中国,Mexico,中国,2013.0,,好感度%（四级题，1-2档）,44.7,33.1,778,Pew Research Center,Pew_2013_39国
Mexico→中国,Mexico,中国,2014.0,,好感度%（四级题，1-2档）,43.5,37.8,813,Pew Research Center,Pew_2014_44国
Mexico→中国,Mexico,中国,2017.0,,好感度%（四级题，1-2档）,43.6,23.3,669,Pew Research Center,Pew_2017_38国
Mexico→中国,Mexico,中国,2018.0,,好感度%（四级题，1-2档）,41.6,27.1,616,Pew Research Center,Pew_2018_27国
Mexico→中国,Mexico,中国,2019.0,,好感度%（四级题，1-2档）,47.4,22.5,718,Pew Research Center,Pew_2019_34国
Morocco→中国,Morocco,中国,2005.0,,好感度%（四级题，1-2档）,71.2,20.8,920,Pew Research Center,Pew_2005_22国
Morocco→中国,Morocco,中国,2015.0,,影响力正面%（1-2档）,43.5,32.1,978,Afrobarometer,R6
Morocco→中国,Morocco,中国,2020.0,,影响力正面%（1-2档）,81.7,7.8,1169,Afrobarometer,R8
Morocco→中国,Morocco,中国,2022.0,,影响力正面%（1-2档）,55.9,28.6,1078,Afrobarometer,R9
Mozambique→中国,Mozambique,中国,2015.0,,影响力正面%（1-2档）,78.2,12.0,1946,Afrobarometer,R6
Mozambique→中国,Mozambique,中国,2020.0,,影响力正面%（1-2档）,75.3,18.2,996,Afrobarometer,R8
Mozambique→中国,Mozambique,中国,2022.0,,影响力正面%（1-2档）,65.3,25.2,954,Afrobarometer,R9
Namibia→中国,Namibia,中国,2015.0,,影响力正面%（1-2档）,66.7,21.1,1187,Afrobarometer,R6
Namibia→中国,Namibia,中国,2020.0,,影响力正面%（1-2档）,57.5,25.9,1028,Afrobarometer,R8
Namibia→中国,Namibia,中国,2022.0,,影响力正面%（1-2档）,56.6,32.8,1017,Afrobarometer,R9
Netherlands→中国,Netherlands,中国,2005.0,,好感度%（四级题，1-2档）,55.6,35.0,683,Pew Research Center,Pew_2005_22国
Netherlands→中国,Netherlands,中国,2016.0,,好感度%（四级题，1-2档）,44.4,45.5,899,Pew Research Center,Pew_2016_19国
Netherlands→中国,Netherlands,中国,2017.0,,好感度%（四级题，1-2档）,49.1,43.3,930,Pew Research Center,Pew_2017_38国
Netherlands→中国,Netherlands,中国,2018.0,,好感度%（四级题，1-2档）,48.4,45.2,942,Pew Research Center,Pew_2018_27国
Netherlands→中国,Netherlands,中国,2019.0,,好感度%（四级题，1-2档）,36.8,58.5,953,Pew Research Center,Pew_2019_34国
Netherlands→中国,Netherlands,中国,2020.0,,好感度%（四级题，1-2档）,23.3,75.5,988,Pew Research Center,Pew_2020夏_14国
Nicaragua→中国,Nicaragua,中国,2014.0,,好感度%（四级题，1-2档）,58.5,19.0,782,Pew Research Center,Pew_2014_44国
Nigeria→中国,Nigeria,中国,2006.0,,好感度%（四级题，1-2档）,58.9,31.5,904,Pew Research Center,Pew_2006_15国
Nigeria→中国,Nigeria,中国,2008.0,,好感度%（四级题，1-2档）,78.4,14.2,926,Pew Research Center,Pew_2008_24国
Nigeria→中国,Nigeria,中国,2009.0,,好感度%（四级题，1-2档）,85.5,10.0,955,Pew Research Center,Pew_2009春_25国
Nigeria→中国,Nigeria,中国,2010.0,,好感度%（四级题，1-2档）,76.2,15.2,914,Pew Research Center,Pew_2010_22国
Nigeria→中国,Nigeria,中国,2013.0,,好感度%（四级题，1-2档）,77.2,10.1,900,Pew Research Center,Pew_2013_39国
Nigeria→中国,Nigeria,中国,2014.0,,好感度%（四级题，1-2档）,69.1,12.6,829,Pew Research Center,Pew_2014_44国
Nigeria→中国,Nigeria,中国,2015.0,,影响力正面%（1-2档）,77.4,7.9,2063,Afrobarometer,R6
Nigeria→中国,Nigeria,中国,2016.0,,好感度%（四级题，1-2档）,64.0,18.6,903,Pew Research Center,Pew_2016_19国
Nigeria→中国,Nigeria,中国,2017.0,,好感度%（四级题，1-2档）,72.3,13.1,947,Pew Research Center,Pew_2017_38国
Nigeria→中国,Nigeria,中国,2018.0,,好感度%（四级题，1-2档）,61.0,17.1,791,Pew Research Center,Pew_2018_27国
Nigeria→中国,Nigeria,中国,2019.0,,好感度%（四级题，1-2档）,71.7,16.2,874,Pew Research Center,Pew_2019_34国
Nigeria→中国,Nigeria,中国,2020.0,,影响力正面%（1-2档）,86.1,6.1,1147,Afrobarometer,R8
Nigeria→中国,Nigeria,中国,2022.0,,影响力正面%（1-2档）,68.8,21.6,1088,Afrobarometer,R9
Niger→中国,Niger,中国,2015.0,,影响力正面%（1-2档）,92.7,3.7,1061,Afrobarometer,R6
Niger→中国,Niger,中国,2020.0,,影响力正面%（1-2档）,76.0,12.8,1084,Afrobarometer,R8
Niger→中国,Niger,中国,2022.0,,影响力正面%（1-2档）,67.8,23.3,937,Afrobarometer,R9
Pakistan refield→中国,Pakistan refield,中国,2011.0,,好感度%（四级题，1-2档）,78.4,3.4,1024,Pew Research Center,Pew_2011_23国
Pakistan→中国,Pakistan,中国,2005.0,,好感度%（四级题，1-2档）,81.6,3.7,1044,Pew Research Center,Pew_2005_22国
Pakistan→中国,Pakistan,中国,2006.0,,好感度%（四级题，1-2档）,73.4,7.0,1026,Pew Research Center,Pew_2006_15国
Pakistan→中国,Pakistan,中国,2008.0,,好感度%（四级题，1-2档）,72.7,9.6,1032,Pew Research Center,Pew_2008_24国
Pakistan→中国,Pakistan,中国,2009.0,,好感度%（四级题，1-2档）,84.4,3.0,1096,Pew Research Center,Pew_2009春_25国
Pakistan→中国,Pakistan,中国,2010.0,,好感度%（四级题，1-2档）,85.2,4.0,1785,Pew Research Center,Pew_2010_22国
Pakistan→中国,Pakistan,中国,2011.0,,好感度%（四级题，1-2档）,82.1,4.2,1699,Pew Research Center,Pew_2011_23国
Pakistan→中国,Pakistan,中国,2012.0,,好感度%（四级题，1-2档）,83.4,6.3,1082,Pew Research Center,Pew_2012_21国
Pakistan→中国,Pakistan,中国,2013.0,,好感度%（四级题，1-2档）,80.7,2.7,1002,Pew Research Center,Pew_2013_39国
Pakistan→中国,Pakistan,中国,2014.0,,好感度%（四级题，1-2档）,78.2,2.7,974,Pew Research Center,Pew_2014_44国
Palestinian Territories→中国,Palestinian Territories,中国,2009.0,,好感度%（四级题，1-2档）,42.1,49.9,1108,Pew Research Center,Pew_2009春_25国
Palestinian Territories→中国,Palestinian Territories,中国,2011.0,,好感度%（四级题，1-2档）,61.7,36.1,807,Pew Research Center,Pew_2011_23国
Palestinian territories→中国,Palestinian territories,中国,2013.0,,好感度%（四级题，1-2档）,47.5,42.7,731,Pew Research Center,Pew_2013_39国
Palestinian territories→中国,Palestinian territories,中国,2014.0,,好感度%（四级题，1-2档）,63.1,28.4,915,Pew Research Center,Pew_2014_44国
Peru→中国,Peru,中国,2014.0,,好感度%（四级题，1-2档）,56.3,27.5,838,Pew Research Center,Pew_2014_44国
Peru→中国,Peru,中国,2017.0,,好感度%（四级题，1-2档）,61.0,23.7,847,Pew Research Center,Pew_2017_38国
Philippines→中国,Philippines,中国,2013.0,,好感度%（四级题，1-2档）,47.9,48.6,776,Pew Research Center,Pew_2013_39国
Philippines→中国,Philippines,中国,2014.0,,好感度%（四级题，1-2档）,38.7,58.0,975,Pew Research Center,Pew_2014_44国
Philippines→中国,Philippines,中国,2017.0,,好感度%（四级题，1-2档）,53.1,41.6,947,Pew Research Center,Pew_2017_38国
Philippines→中国,Philippines,中国,2018.0,,好感度%（四级题，1-2档）,51.3,44.5,1131,Pew Research Center,Pew_2018_27国
Philippines→中国,Philippines,中国,2019.0,,好感度%（四级题，1-2档）,40.6,55.4,993,Pew Research Center,Pew_2019_34国
Poland→中国,Poland,中国,2005.0,,好感度%（四级题，1-2档）,36.8,33.1,716,Pew Research Center,Pew_2005_22国
Poland→中国,Poland,中国,2008.0,,好感度%（四级题，1-2档）,34.0,53.6,657,Pew Research Center,Pew_2008_24国
Poland→中国,Poland,中国,2009.0,,好感度%（四级题，1-2档）,43.1,41.2,632,Pew Research Center,Pew_2009春_25国
Poland→中国,Poland,中国,2010.0,,好感度%（四级题，1-2档）,45.7,41.3,653,Pew Research Center,Pew_2010_22国
Poland→中国,Poland,中国,2011.0,,好感度%（四级题，1-2档）,51.5,31.9,625,Pew Research Center,Pew_2011_23国
Poland→中国,Poland,中国,2012.0,,好感度%（四级题，1-2档）,50.4,40.6,911,Pew Research Center,Pew_2012_21国
Poland→中国,Poland,中国,2013.0,,好感度%（四级题，1-2档）,42.2,42.6,679,Pew Research Center,Pew_2013_39国
Poland→中国,Poland,中国,2014.0,,好感度%（四级题，1-2档）,32.1,52.1,850,Pew Research Center,Pew_2014_44国
Poland→中国,Poland,中国,2016.0,,好感度%（四级题，1-2档）,38.0,40.9,791,Pew Research Center,Pew_2016_19国
Poland→中国,Poland,中国,2017.0,,好感度%（四级题，1-2档）,38.4,28.7,779,Pew Research Center,Pew_2017_38国
Poland→中国,Poland,中国,2018.0,,好感度%（四级题，1-2档）,33.6,37.4,716,Pew Research Center,Pew_2018_27国
Poland→中国,Poland,中国,2019.0,,好感度%（四级题，1-2档）,47.4,33.5,833,Pew Research Center,Pew_2019_34国
Russia→中国,Russia,中国,2005.0,,好感度%（四级题，1-2档）,59.8,28.5,885,Pew Research Center,Pew_2005_22国
Russia→中国,Russia,中国,2006.0,,好感度%（四级题，1-2档）,63.2,27.0,902,Pew Research Center,Pew_2006_15国
Russia→中国,Russia,中国,2008.0,,好感度%（四级题，1-2档）,59.0,29.9,889,Pew Research Center,Pew_2008_24国
Russia→中国,Russia,中国,2009.0,,好感度%（四级题，1-2档）,58.6,29.2,879,Pew Research Center,Pew_2009春_25国
Russia→中国,Russia,中国,2010.0,,好感度%（四级题，1-2档）,59.1,29.5,887,Pew Research Center,Pew_2010_22国
Russia→中国,Russia,中国,2011.0,,好感度%（四级题，1-2档）,63.6,25.1,887,Pew Research Center,Pew_2011_23国
Russia→中国,Russia,中国,2012.0,,好感度%（四级题，1-2档）,62.2,25.5,877,Pew Research Center,Pew_2012_21国
Russia→中国,Russia,中国,2013.0,,好感度%（四级题，1-2档）,63.6,27.8,910,Pew Research Center,Pew_2013_39国
Russia→中国,Russia,中国,2014.0,,好感度%（四级题，1-2档）,63.4,28.4,918,Pew Research Center,Pew_2014_44国
Russia→中国,Russia,中国,2017.0,,好感度%（四级题，1-2档）,72.4,22.0,945,Pew Research Center,Pew_2017_38国
Russia→中国,Russia,中国,2018.0,,好感度%（四级题，1-2档）,67.2,20.3,875,Pew Research Center,Pew_2018_27国
Russia→中国,Russia,中国,2019.0,,好感度%（四级题，1-2档）,71.5,17.1,921,Pew Research Center,Pew_2019_34国
Senegal→中国,Senegal,中国,2013.0,,好感度%（四级题，1-2档）,76.9,7.9,678,Pew Research Center,Pew_2013_39国
Senegal→中国,Senegal,中国,2014.0,,好感度%（四级题，1-2档）,70.0,12.0,820,Pew Research Center,Pew_2014_44国
Senegal→中国,Senegal,中国,2015.0,,影响力正面%（1-2档）,77.9,16.3,1010,Afrobarometer,R6
Senegal→中国,Senegal,中国,2017.0,,好感度%（四级题，1-2档）,64.3,9.9,803,Pew Research Center,Pew_2017_38国
Senegal→中国,Senegal,中国,2020.0,,影响力正面%（1-2档）,68.9,19.2,1035,Afrobarometer,R8
Senegal→中国,Senegal,中国,2022.0,,影响力正面%（1-2档）,59.3,34.8,1047,Afrobarometer,R9
Seychelles→中国,Seychelles,中国,2022.0,,影响力正面%（1-2档）,62.9,18.9,588,Afrobarometer,R9
Sierra Leone→中国,Sierra Leone,中国,2015.0,,影响力正面%（1-2档）,84.5,6.3,775,Afrobarometer,R6
Sierra Leone→中国,Sierra Leone,中国,2020.0,,影响力正面%（1-2档）,82.8,11.3,576,Afrobarometer,R8
Sierra Leone→中国,Sierra Leone,中国,2022.0,,影响力正面%（1-2档）,65.6,16.6,895,Afrobarometer,R9
Slovakia→中国,Slovakia,中国,2019.0,,好感度%（四级题，1-2档）,38.9,48.7,887,Pew Research Center,Pew_2019_34国
South Africa→中国,South Africa,中国,2008.0,,好感度%（四级题，1-2档）,37.9,49.4,873,Pew Research Center,Pew_2008_24国
South Africa→中国,South Africa,中国,2013.0,,好感度%（四级题，1-2档）,47.9,43.3,743,Pew Research Center,Pew_2013_39国
South Africa→中国,South Africa,中国,2014.0,,好感度%（四级题，1-2档）,44.8,41.4,862,Pew Research Center,Pew_2014_44国
South Africa→中国,South Africa,中国,2015.0,,影响力正面%（1-2档）,61.4,24.2,2008,Afrobarometer,R6
South Africa→中国,South Africa,中国,2016.0,,好感度%（四级题，1-2档）,41.2,44.7,955,Pew Research Center,Pew_2016_19国
South Africa→中国,South Africa,中国,2017.0,,好感度%（四级题，1-2档）,45.2,34.6,1033,Pew Research Center,Pew_2017_38国
South Africa→中国,South Africa,中国,2018.0,,好感度%（四级题，1-2档）,51.0,38.1,1320,Pew Research Center,Pew_2018_27国
South Africa→中国,South Africa,中国,2019.0,,好感度%（四级题，1-2档）,48.7,33.4,1218,Pew Research Center,Pew_2019_34国
South Africa→中国,South Africa,中国,2020.0,,影响力正面%（1-2档）,56.7,33.6,1113,Afrobarometer,R8
South Africa→中国,South Africa,中国,2022.0,,影响力正面%（1-2档）,54.1,30.5,1014,Afrobarometer,R9
South Korea→中国,South Korea,中国,2008.0,,好感度%（四级题，1-2档）,48.5,48.7,694,Pew Research Center,Pew_2008_24国
South Korea→中国,South Korea,中国,2009.0,,好感度%（四级题，1-2档）,42.2,53.3,670,Pew Research Center,Pew_2009春_25国
South Korea→中国,South Korea,中国,2010.0,,好感度%（四级题，1-2档）,39.1,56.1,672,Pew Research Center,Pew_2010_22国
South Korea→中国,South Korea,中国,2013.0,,好感度%（四级题，1-2档）,48.8,47.6,780,Pew Research Center,Pew_2013_39国
South Korea→中国,South Korea,中国,2014.0,,好感度%（四级题，1-2档）,56.3,42.1,993,Pew Research Center,Pew_2014_44国
South Korea→中国,South Korea,中国,2017.0,,好感度%（四级题，1-2档）,33.7,61.4,960,Pew Research Center,Pew_2017_38国
South Korea→中国,South Korea,中国,2018.0,,好感度%（四级题，1-2档）,38.5,59.8,990,Pew Research Center,Pew_2018_27国
South Korea→中国,South Korea,中国,2019.0,,好感度%（四级题，1-2档）,34.1,63.6,983,Pew Research Center,Pew_2019_34国
South Korea→中国,South Korea,中国,2020.0,,好感度%（四级题，1-2档）,24.6,74.2,1177,Pew Research Center,Pew_2020夏_14国
Spain→中国,Spain,中国,2005.0,,好感度%（四级题，1-2档）,56.6,20.6,580,Pew Research Center,Pew_2005_22国
Spain→中国,Spain,中国,2006.0,,好感度%（四级题，1-2档）,48.5,32.4,792,Pew Research Center,Pew_2006_15国
Spain→中国,Spain,中国,2008.0,,好感度%（四级题，1-2档）,30.3,56.4,652,Pew Research Center,Pew_2008_24国
Spain→中国,Spain,中国,2009.0,,好感度%（四级题，1-2档）,40.3,41.1,610,Pew Research Center,Pew_2009春_25国
Spain→中国,Spain,中国,2010.0,,好感度%（四级题，1-2档）,46.8,37.2,634,Pew Research Center,Pew_2010_22国
Spain→中国,Spain,中国,2011.0,,好感度%（四级题，1-2档）,55.3,39.5,948,Pew Research Center,Pew_2011_23国
Spain→中国,Spain,中国,2012.0,,好感度%（四级题，1-2档）,47.9,46.2,941,Pew Research Center,Pew_2012_21国
Spain→中国,Spain,中国,2013.0,,好感度%（四级题，1-2档）,47.3,46.7,940,Pew Research Center,Pew_2013_39国
Spain→中国,Spain,中国,2014.0,,好感度%（四级题，1-2档）,38.1,54.8,937,Pew Research Center,Pew_2014_44国
Spain→中国,Spain,中国,2016.0,,好感度%（四级题，1-2档）,28.5,57.0,857,Pew Research Center,Pew_2016_19国
Spain→中国,Spain,中国,2017.0,,好感度%（四级题，1-2档）,41.6,46.6,882,Pew Research Center,Pew_2017_38国
Spain→中国,Spain,中国,2018.0,,好感度%（四级题，1-2档）,39.7,51.3,915,Pew Research Center,Pew_2018_27国
Spain→中国,Spain,中国,2019.0,,好感度%（四级题，1-2档）,38.0,54.5,989,Pew Research Center,Pew_2019_34国
Spain→中国,Spain,中国,2020.0,,好感度%（四级题，1-2档）,36.2,62.2,1025,Pew Research Center,Pew_2020夏_14国
Sudan→中国,Sudan,中国,2015.0,,影响力正面%（1-2档）,69.5,19.6,1087,Afrobarometer,R6
Sudan→中国,Sudan,中国,2020.0,,影响力正面%（1-2档）,73.3,19.0,1609,Afrobarometer,R8
Sudan→中国,Sudan,中国,2022.0,,影响力正面%（1-2档）,61.9,30.3,1017,Afrobarometer,R9
Swaziland→中国,Swaziland,中国,2015.0,,影响力正面%（1-2档）,,,0,Afrobarometer,R6
Sweden→中国,Sweden,中国,2016.0,,好感度%（四级题，1-2档）,36.9,59.5,964,Pew Research Center,Pew_2016_19国
Sweden→中国,Sweden,中国,2017.0,,好感度%（四级题，1-2档）,41.1,50.8,919,Pew Research Center,Pew_2017_38国
Sweden→中国,Sweden,中国,2018.0,,好感度%（四级题，1-2档）,41.8,51.5,922,Pew Research Center,Pew_2018_27国
Sweden→中国,Sweden,中国,2019.0,,好感度%（四级题，1-2档）,23.3,72.0,969,Pew Research Center,Pew_2019_34国
Sweden→中国,Sweden,中国,2020.0,,好感度%（四级题，1-2档）,13.4,84.4,993,Pew Research Center,Pew_2020夏_14国
São Tomé and Príncipe→中国,São Tomé and Príncipe,中国,2015.0,,影响力正面%（1-2档）,84.0,11.1,730,Afrobarometer,R6
São Tomé and Príncipe→中国,São Tomé and Príncipe,中国,2022.0,,影响力正面%（1-2档）,85.3,8.5,1040,Afrobarometer,R9
Tanzania→中国,Tanzania,中国,2008.0,,好感度%（四级题，1-2档）,73.0,7.7,568,Pew Research Center,Pew_2008_24国
Tanzania→中国,Tanzania,中国,2014.0,,好感度%（四级题，1-2档）,78.3,9.9,897,Pew Research Center,Pew_2014_44国
Tanzania→中国,Tanzania,中国,2015.0,,影响力正面%（1-2档）,83.0,8.0,2091,Afrobarometer,R6
Tanzania→中国,Tanzania,中国,2017.0,,好感度%（四级题，1-2档）,62.6,14.3,816,Pew Research Center,Pew_2017_38国
Tanzania→中国,Tanzania,中国,2020.0,,影响力正面%（1-2档）,87.7,6.8,2052,Afrobarometer,R8
Tanzania→中国,Tanzania,中国,2022.0,,影响力正面%（1-2档）,80.1,12.9,1599,Afrobarometer,R9
Thailand→中国,Thailand,中国,2014.0,,好感度%（四级题，1-2档）,71.9,17.3,892,Pew Research Center,Pew_2014_44国
Togo→中国,Togo,中国,2015.0,,影响力正面%（1-2档）,87.0,11.0,983,Afrobarometer,R6
Togo→中国,Togo,中国,2020.0,,影响力正面%（1-2档）,72.5,18.1,1036,Afrobarometer,R8
Togo→中国,Togo,中国,2022.0,,影响力正面%（1-2档）,76.5,14.8,931,Afrobarometer,R9
Tunisia→中国,Tunisia,中国,2012.0,,好感度%（四级题，1-2档）,69.1,15.3,844,Pew Research Center,Pew_2012_21国
Tunisia→中国,Tunisia,中国,2013.0,,好感度%（四级题，1-2档）,61.6,16.4,780,Pew Research Center,Pew_2013_39国
Tunisia→中国,Tunisia,中国,2014.0,,好感度%（四级题，1-2档）,62.4,20.9,833,Pew Research Center,Pew_2014_44国
Tunisia→中国,Tunisia,中国,2015.0,,影响力正面%（1-2档）,48.3,46.2,1031,Afrobarometer,R6
Tunisia→中国,Tunisia,中国,2017.0,,好感度%（四级题，1-2档）,66.3,21.4,881,Pew Research Center,Pew_2017_38国
Tunisia→中国,Tunisia,中国,2018.0,,好感度%（四级题，1-2档）,71.3,16.0,900,Pew Research Center,Pew_2018_27国
Tunisia→中国,Tunisia,中国,2019.0,,好感度%（四级题，1-2档）,63.4,16.2,832,Pew Research Center,Pew_2019_34国
Tunisia→中国,Tunisia,中国,2020.0,,影响力正面%（1-2档）,35.7,49.1,983,Afrobarometer,R8
Tunisia→中国,Tunisia,中国,2022.0,,影响力正面%（1-2档）,21.0,64.2,953,Afrobarometer,R9
Turkey→中国,Turkey,中国,2005.0,,好感度%（四级题，1-2档）,40.0,38.5,787,Pew Research Center,Pew_2005_22国
Turkey→中国,Turkey,中国,2006.0,,好感度%（四级题，1-2档）,33.0,43.3,773,Pew Research Center,Pew_2006_15国
Turkey→中国,Turkey,中国,2008.0,,好感度%（四级题，1-2档）,22.5,49.5,722,Pew Research Center,Pew_2008_24国
Turkey→中国,Turkey,中国,2009.0,,好感度%（四级题，1-2档）,15.7,55.7,718,Pew Research Center,Pew_2009春_25国
Turkey→中国,Turkey,中国,2010.0,,好感度%（四级题，1-2档）,20.7,60.0,810,Pew Research Center,Pew_2010_22国
Turkey→中国,Turkey,中国,2011.0,,好感度%（四级题，1-2档）,18.3,66.2,845,Pew Research Center,Pew_2011_23国
Turkey→中国,Turkey,中国,2012.0,,好感度%（四级题，1-2档）,23.6,59.4,831,Pew Research Center,Pew_2012_21国
Turkey→中国,Turkey,中国,2013.0,,好感度%（四级题，1-2档）,24.9,60.5,854,Pew Research Center,Pew_2013_39国
Turkey→中国,Turkey,中国,2014.0,,好感度%（四级题，1-2档）,20.7,68.7,895,Pew Research Center,Pew_2014_44国
Turkey→中国,Turkey,中国,2017.0,,好感度%（四级题，1-2档）,33.6,54.3,923,Pew Research Center,Pew_2017_38国
Turkey→中国,Turkey,中国,2019.0,,好感度%（四级题，1-2档）,39.7,41.3,847,Pew Research Center,Pew_2019_34国
US→中国,US,中国,2005.0,,好感度%（四级题，1-2档）,42.5,36.2,787,Pew Research Center,Pew_2005_22国
US→中国,US,中国,2006.0,,好感度%（四级题，1-2档）,51.1,30.9,821,Pew Research Center,Pew_2006_15国
