方向,评价方,被评价方,年份,月份,指标类型,好感度数值,恶感度数值,有效样本量,数据来源机构,调查波次
Cameroon→中国,Cameroon,中国,2015.0,,影响力正面%（1-2档）,83.5,10.6,1130,Afrobarometer,R6
Cameroon→中国,Cameroon,中国,2020.0,,影响力正面%（1-2档）,69.5,19.6,1145,Afrobarometer,R8
Cameroon→中国,Cameroon,中国,2022.0,,影响力正面%（1-2档）,74.6,18.8,1171,Afrobarometer,R9
Canada→中国,Canada,中国,2005.0,,好感度%（四级题，1-2档）,58.8,27.0,429,Pew Research Center,Pew_2005_22国
Canada→中国,Canada,中国,2009.0,,好感度%（四级题，1-2档）,54.5,36.3,681,Pew Research Center,Pew_2009春_25国
Canada→中国,Canada,中国,2013.0,,好感度%（四级题，1-2档）,42.8,45.1,616,Pew Research Center,Pew_2013_39国
Canada→中国,Canada,中国,2016.0,,好感度%（四级题，1-2档）,45.3,43.4,905,Pew Research Center,Pew_2016_19国
Canada→中国,Canada,中国,2017.0,,好感度%（四级题，1-2档）,45.7,41.7,893,Pew Research Center,Pew_2017_38国
Canada→中国,Canada,中国,2018.0,,好感度%（四级题，1-2档）,44.5,45.9,955,Pew Research Center,Pew_2018_27国
Canada→中国,Canada,中国,2019.0,,好感度%（四级题，1-2档）,27.8,68.1,963,Pew Research Center,Pew_2019_34国
Canada→中国,Canada,中国,2020.0,,好感度%（四级题，1-2档）,20.9,75.6,1001,Pew Research Center,Pew_2020夏_14国
Cape Verde→中国,Cape Verde,中国,2015.0,,影响力正面%（1-2档）,87.3,5.8,1070,Afrobarometer,R6
Chile→中国,Chile,中国,2013.0,,好感度%（四级题，1-2档）,62.7,25.5,706,Pew Research Center,Pew_2013_39国
Chile→中国,Chile,中国,2014.0,,好感度%（四级题，1-2档）,58.5,27.6,861,Pew Research Center,Pew_2014_44国
Chile→中国,Chile,中国,2017.0,,好感度%（四级题，1-2档）,49.7,27.7,764,Pew Research Center,Pew_2017_38国
China→中国,China,中国,2005.0,,好感度%（四级题，1-2档）,88.9,8.9,2143,Pew Research Center,Pew_2005_22国
China→中国,China,中国,2006.0,,好感度%（四级题，1-2档）,93.7,4.4,2139,Pew Research Center,Pew_2006_15国
China→中国,China,中国,2008.0,,好感度%（四级题，1-2档）,95.0,3.0,3148,Pew Research Center,Pew_2008_24国
China→中国,China,中国,2009.0,,好感度%（四级题，1-2档）,94.8,4.9,3159,Pew Research Center,Pew_2009春_25国
China→中国,China,中国,2010.0,,好感度%（四级题，1-2档）,96.8,2.8,3249,Pew Research Center,Pew_2010_22国
China→中国,China,中国,2011.0,,好感度%（四级题，1-2档）,94.9,3.7,3264,Pew Research Center,Pew_2011_23国
China→中国,China,中国,2012.0,,好感度%（四级题，1-2档）,94.2,4.1,3123,Pew Research Center,Pew_2012_21国
China→中国,China,中国,2013.0,,好感度%（四级题，1-2档）,95.7,2.9,3183,Pew Research Center,Pew_2013_39国
China→中国,China,中国,2014.0,,好感度%（四级题，1-2档）,96.9,2.3,3162,Pew Research Center,Pew_2014_44国
China→中国,China,中国,2016.0,,好感度%（四级题，1-2档）,94.5,4.4,3119,Pew Research Center,Pew_2016_19国
Colombia→中国,Colombia,中国,2014.0,,好感度%（四级题，1-2档）,38.0,32.8,710,Pew Research Center,Pew_2014_44国
Colombia→中国,Colombia,中国,2017.0,,好感度%（四级题，1-2档）,40.4,33.6,740,Pew Research Center,Pew_2017_38国
Congo-Brazzaville→中国,Congo-Brazzaville,中国,2022.0,,影响力正面%（1-2档）,69.5,21.4,1181,Afrobarometer,R9
Cote d'Ivoire→中国,Cote d'Ivoire,中国,2015.0,,影响力正面%（1-2档）,86.1,8.5,1080,Afrobarometer,R6
Czech Republic→中国,Czech Republic,中国,2012.0,,好感度%（四级题，1-2档）,33.4,56.7,901,Pew Research Center,Pew_2012_21国
Czech Republic→中国,Czech Republic,中国,2013.0,,好感度%（四级题，1-2档）,34.1,55.1,625,Pew Research Center,Pew_2013_39国
Czech Republic→中国,Czech Republic,中国,2019.0,,好感度%（四级题，1-2档）,25.8,59.7,874,Pew Research Center,Pew_2019_34国
Côte d'Ivoire→中国,Côte d'Ivoire,中国,2020.0,,影响力正面%（1-2档）,74.3,12.2,1129,Afrobarometer,R8
Côte d'Ivoire→中国,Côte d'Ivoire,中国,2022.0,,影响力正面%（1-2档）,73.3,16.6,1094,Afrobarometer,R9
Denmark→中国,Denmark,中国,2020.0,,好感度%（四级题，1-2档）,21.1,76.8,1021,Pew Research Center,Pew_2020夏_14国
Egypt→中国,Egypt,中国,2006.0,,好感度%（四级题，1-2档）,63.1,31.4,945,Pew Research Center,Pew_2006_15国
Egypt→中国,Egypt,中国,2008.0,,好感度%（四级题，1-2档）,58.8,29.2,880,Pew Research Center,Pew_2008_24国
Egypt→中国,Egypt,中国,2009.0,,好感度%（四级题，1-2档）,51.9,47.7,996,Pew Research Center,Pew_2009春_25国
Egypt→中国,Egypt,中国,2010.0,,好感度%（四级题，1-2档）,52.3,43.0,953,Pew Research Center,Pew_2010_22国
Egypt→中国,Egypt,中国,2011.0,,好感度%（四级题，1-2档）,57.0,39.2,962,Pew Research Center,Pew_2011_23国
Egypt→中国,Egypt,中国,2012.0,,好感度%（四级题，1-2档）,52.5,41.7,942,Pew Research Center,Pew_2012_21国
Egypt→中国,Egypt,中国,2013.0,,好感度%（四级题，1-2档）,44.3,52.1,964,Pew Research Center,Pew_2013_39国
