db,version,country,event_name,category,post_month,shock
GDELT,v3,Australia,Australia calls for COVID inquiry,Diplomatic protest / friction,0,-0.7379693922026327
GDELT,v3,Australia,Australia calls for COVID inquiry,Diplomatic protest / friction,1,-1.0350602900068073
GDELT,v3,Australia,Australia calls for COVID inquiry,Diplomatic protest / friction,3,-1.3859050860524367
GDELT,v3,Australia,Australia calls for COVID inquiry,Diplomatic protest / friction,6,-0.6597594767309705
GDELT,v3,Australia,Australia calls for COVID inquiry,Diplomatic protest / friction,12,-1.2772284791208561
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,0,-0.5790931770672216
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,1,-1.0274721600324535
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,3,-0.23425695259712542
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,6,0.23028798692332564
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,12,-0.5995524270288468
GDELT,v3,Australia,AUKUS security pact announced,Security threat,0,-0.520469174079562
GDELT,v3,Australia,AUKUS security pact announced,Security threat,1,-0.07992468316150769
GDELT,v3,Australia,AUKUS security pact announced,Security threat,3,0.04732192181924799
GDELT,v3,Australia,AUKUS security pact announced,Security threat,6,0.2325653387183162
GDELT,v3,Australia,AUKUS security pact announced,Security threat,12,1.0902875367692624
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,0,0.2653106824016829
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,1,0.37578877979174047
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,3,-0.09926455172611737
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,6,-0.32889792750801805
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,12,0.5110046594136128
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,0,0.7555685750037628
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,1,0.4127082021136603
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,3,0.04025486551711971
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,6,0.06791995736930273
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,12,-0.18886573858400224
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,0,0.782341300605125
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,1,0.7070429066104453
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,3,0.46227232554154385
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,6,2.362896186848899
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,12,1.0250534711903614
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,0,0.6116338549464138
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,1,0.9498996938264856
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,3,-0.006038085190538917
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,6,-1.5394882191162749
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,12,0.46339391300244037
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,0,1.9867110265837007
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,1,-1.173403040237998
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,3,-0.7940271735151774
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,6,-0.506805919176064
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,12,-0.04243901680288409
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,0,1.9867110265837007
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,1,-1.173403040237998
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,3,-0.7940271735151774
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,6,-0.506805919176064
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,12,-0.04243901680288409
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,0,0.7432516645729419
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,1,-0.6336538322178856
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,3,-0.9662803287792201
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,6,0.0890190428601248
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,12,-0.40247992275802436
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,0,-0.14671726381558153
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,1,-0.3814741885079117
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,3,-0.4482411649063914
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,6,-0.2174395321950458
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,12,-4.221303733344361
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,0,-0.14671726381558153
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,1,-0.3814741885079117
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,3,-0.4482411649063914
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,6,-0.2174395321950458
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,12,-4.221303733344361
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,0,0.9612759175490873
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,1,1.1222024367768118
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,3,-0.23548365710615105
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,6,1.0251337091792154
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,12,0.6503160311524528
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,0,0.6995031396597087
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,1,-0.31503437021987823
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,3,-0.7925562262441302
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,6,-0.04977855535574234
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,12,0.5737643344086231
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,0,-0.17341854256371184
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,1,-0.3717834894982127
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,3,-1.4825105845836422
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,6,-1.3390801204694163
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,12,-0.37471143802719337
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,0,0.42816319430929684
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,1,-0.11834329661929792
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,3,-0.3061031281872999
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,6,0.2701503738713567
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,12,0.07981900643389532
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,0,-0.7908201255711937
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,1,0.27323930775233374
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,3,-0.7175034451200588
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,6,-0.3255090193413221
