country,avg_shock,db,node,valence,node_date
Brazil,0.22932005958699755,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Canada,-0.14049713934822355,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
France,0.23114831607676142,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Germany,1.0488796271036702,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
India,0.39591053298068435,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Indonesia,-0.1585549360894675,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Iran,0.24165032583263643,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Italy,0.02730903987881413,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Japan,0.9645065043548244,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Malaysia,0.17894872756939917,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Mexico,-0.1680722387229682,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Netherlands,-0.7013897991136175,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Philippines,0.012538312380459073,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Russia,1.1030028476654103,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Saudi Arabia,0.3752848773823892,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Singapore,-0.006349322775287385,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
South Korea,1.0673585016963847,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Spain,-0.6576106174697464,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Thailand,-0.007218020953816897,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
United Arab Emirates,-0.5251079113365018,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
United Kingdom,0.23779628318708473,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Vietnam,-0.1992786404178351,GDELT,Steel/aluminum tariffs imposed,negative,2018-03-01
Australia,-0.2813210162660809,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Belgium,-0.20390542326791944,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Brazil,0.01553719173717198,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Canada,0.3764556788596195,GDELT,US bans ZTE from tech exports,negative,2018-04-01
France,0.18250759525908514,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Germany,0.3282394584086157,GDELT,US bans ZTE from tech exports,negative,2018-04-01
India,0.36857121270521176,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Indonesia,0.17860487811931927,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Iran,-0.038628641517485955,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Italy,0.06433931941560526,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Japan,0.3206889456179596,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Malaysia,0.21924438137495703,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Mexico,0.07006795898890215,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Netherlands,-0.4938497231933579,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Philippines,-0.041841627223414175,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Russia,0.9736209010103181,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Saudi Arabia,0.31588234983610347,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Singapore,0.2574201724254128,GDELT,US bans ZTE from tech exports,negative,2018-04-01
South Korea,0.4314030371075626,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Spain,-0.10286319376958798,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Thailand,0.5209707174061744,GDELT,US bans ZTE from tech exports,negative,2018-04-01
United Arab Emirates,-0.5344849763871062,GDELT,US bans ZTE from tech exports,negative,2018-04-01
United Kingdom,0.010117917013536608,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Vietnam,-0.2514574438282087,GDELT,US bans ZTE from tech exports,negative,2018-04-01
Australia,0.1288438747004818,GDELT,Trade War Begins,negative,2018-07-01
Belgium,-0.41022166531128085,GDELT,Trade War Begins,negative,2018-07-01
Brazil,-0.039098529922367994,GDELT,Trade War Begins,negative,2018-07-01
Canada,-0.6170812813641079,GDELT,Trade War Begins,negative,2018-07-01
France,-0.5942167442447732,GDELT,Trade War Begins,negative,2018-07-01
Germany,-0.7803556798370997,GDELT,Trade War Begins,negative,2018-07-01
India,-0.1114895907513089,GDELT,Trade War Begins,negative,2018-07-01
Indonesia,0.09995680029037604,GDELT,Trade War Begins,negative,2018-07-01
Iran,-0.865199230101459,GDELT,Trade War Begins,negative,2018-07-01
Italy,-0.07980431340000683,GDELT,Trade War Begins,negative,2018-07-01
Japan,-0.5036310001665927,GDELT,Trade War Begins,negative,2018-07-01
Malaysia,0.7451009682853647,GDELT,Trade War Begins,negative,2018-07-01
