db,version,country,event_name,category,post_month,shock
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,6,0.23774190192925637
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,12,-0.6189586187819599
GDELT,v3,Australia,AUKUS security pact announced,Security threat,0,-0.5373156150886089
GDELT,v3,Australia,AUKUS security pact announced,Security threat,1,-0.08251166914858032
GDELT,v3,Australia,AUKUS security pact announced,Security threat,3,0.04885362821813821
GDELT,v3,Australia,AUKUS security pact announced,Security threat,6,0.24009296658675972
GDELT,v3,Australia,AUKUS security pact announced,Security threat,12,1.125577743347904
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,0,0.27389820493470174
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,1,0.3879522350469321
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,3,-0.10247752666915963
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,6,-0.33954362913590097
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,12,0.5275447549252897
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,0,0.7800246658944499
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,1,0.42606665776697206
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,3,0.04155782686629195
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,6,0.0701183768187974
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,12,-0.19497890662956863
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,0,1.1002853529017174
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,1,0.9943856388698926
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,3,0.650140122286474
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,6,3.3231788514887617
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,12,1.4416359195397803
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,0,0.8602022818120721
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,1,1.3359395944387669
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,3,-0.008491967239341758
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,6,-2.165137309187446
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,12,0.6517175236767218
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,0,2.7941117787180527
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,1,-1.6502748573104746
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,3,-1.1167203727438968
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,6,-0.712772199552802
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,12,-0.059686262943865476
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,0,2.7941117787180527
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,1,-1.6502748573104746
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,3,-1.1167203727438968
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,6,-0.712772199552802
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,12,-0.059686262943865476
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,0,1.0453096614187252
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,1,-0.891171193263237
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,3,-1.3589773309046582
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,6,0.1251964442022503
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,12,-0.5660480451500375
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,0,-0.18637913863541344
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,1,-0.48459757779504864
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,3,-0.5694135784947432
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,6,-0.27621965992182007
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,12,-5.362442927835071
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,0,-0.18637913863541344
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,1,-0.48459757779504864
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,3,-0.5694135784947432
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,6,-0.27621965992182007
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,12,-5.362442927835071
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,0,1.2211363056018125
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,1,1.42556586799441
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,3,-0.2991416281408352
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,6,1.302256685642045
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,12,0.8261150635916017
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,0,0.8885988550496551
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,1,-0.4001971754048972
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,3,-1.0068068537127894
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,6,-0.0632351233143238
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,12,0.7288692526410356
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,0,-0.2202985371037216
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,1,-0.4722872055373366
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,3,-1.8832756186067745
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,6,-1.7010717956859165
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,12,-0.47600666233886324
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,0,0.5439079579009913
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,1,-0.1503348761663421
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,3,-0.38885156307757995
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,6,0.3431797504584537
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,12,0.10139636794606055
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,0,-1.004601435348302
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,1,0.34710371155932274
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,3,-0.9114651581664535
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,6,-0.4135034219228042
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,12,1.0019788844949873
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,0,-1.0187629644838658
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,1,-1.9631869535962707
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,3,-0.19892723088015352
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,6,-0.02816232946627295
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,12,-1.7935631489982846
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,0,-0.28161001252089335
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,1,-0.4846414656622908
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,3,0.3166273905125969
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,6,-1.2235456187423104
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,12,-0.7811271192141955
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,0,-1.0721347221070743
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,1,-1.1218543781157524
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,3,-2.127702351296191
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,6,-0.9383920861106669
GDELT,v3,Brazil,Brazil launches anti-dumping investigations on Chinese products,Economic sanction / tariff barrier,12,-1.073141679967589
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,0,-0.3015906177398384
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,1,2.8069530889839123
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,3,-0.3148529604389707
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,6,-1.5284063092412672
GDELT,v3,Canada,Canada-China energy cooperation and joint statement,Economic win-win cooperation,12,-5.306741447181768
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,0,2.0102780740415813
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,1,1.5697226728441613
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,3,-1.032123832829507
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,6,0.3123601140500192
GDELT,v3,Canada,Canada-China strategic partnership announced,Strategic partnership upgrade,12,0.2372597422670868
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,0,1.2933388363588603
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,1,1.7760370781291344
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,3,-0.012198176462456245
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,6,1.4123192495526085
GDELT,v3,Canada,China bans Canadian pork imports over H1N1; Canada protests,Pandemic / disaster shock,12,0.9738271491390341
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,0,1.8970981823338267
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,1,1.7177854177843048
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,3,2.437703761422852
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,6,0.8642284809269725
GDELT,v3,Canada,Canada-China FIPA signed,Economic win-win cooperation,12,2.0257728082534094
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,0,-3.4537014047015315
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,1,-3.773830763962355
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,3,-2.611993371604303
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,6,-2.698623236701671
GDELT,v3,Canada,China detains Canadians Kovrig and Spavor ('Two Michaels'),Detention / judicial dispute,12,-2.8125142079947985
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,0,-3.4537014047015315
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,1,-3.773830763962355
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,3,-2.611993371604303
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,6,-2.698623236701671
GDELT,v3,Canada,Meng Wanzhou arrested,Detention / judicial dispute,12,-2.8125142079947985
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,0,0.6586407332193529
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,1,1.5772151637509697
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,3,0.5720108681219844
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,6,1.271924641964081
GDELT,v3,Canada,China suspends canola seed licences of Richardson and Viterra,Economic sanction / tariff barrier,12,2.355763497606037
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,0,0.310017747070253
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,1,0.602465833215037
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,3,0.13285170018055248
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,6,1.6296789671808671
GDELT,v3,Canada,Meng Released / Michaels Freed,Strategic partnership upgrade,12,2.3760877817817416
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,0,-1.3501285217399985
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,1,-0.6676068856977704
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,3,-0.5032719229237355
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,6,-0.9216502422769075
GDELT,v3,Canada,Canada bans Huawei and ZTE from 5G networks,Tech control / export restriction,12,-1.2675990014889926
