country,year,indicator_type,favorable,unfavorable,n_sample,source,wave,gdelt_mean,gdelt_std,gdelt_n_months,icews_mean,icews_std,icews_n_months,phoenix_mean,phoenix_std,phoenix_n_months,tsinghua_mean,tsinghua_std,tsinghua_n_months,polling_z,polling_z_by_source,n_obs,polling_z_pew,n_events_total,n_positive,n_negative,n_neutral,has_negative,has_positive,has_any_event,n_visit_total,n_visit_state_head,n_visit_gov_head,n_visit_china_to_partner,n_visit_partner_to_china,n_visit_third_party,n_conflict,n_cooperative,has_conflict,n_high_level_visit,n_economic_win_win_cooperation,n_multilateral___third_party_meeting,n_strategic_partnership_upgrade,n_sovereignty_dispute
Brazil,2019,好感度%（四级题，1-2档）,47,27.7,782,Pew Research Center,Pew_2019_34国,2.44875016241115,0.798174063663731,12,1.77157029656387,0.913804672556888,12,3.7,0,3,,,,0.336840468431203,0.336840468431203,10,0.290791683429667,2,1,0,1,0,1,1,2,1,0,0,1,0,0,1,0,1,1,0,0,0
Canada,2005,好感度%（四级题，1-2档）,58.8,27,429,Pew Research Center,Pew_2005_22国,1.63066483779985,1.6492493573406,12,1.42730444971239,1.7413706257061,12,2.51235579000626,1.1431400283946,12,,,,1.11923223436835,1.11923223436835,8,1.14510937083434,4,3,0,1,0,1,1,4,1,1,1,1,0,0,2,0,2,1,0,1,0
Canada,2009,好感度%（四级题，1-2档）,54.5,36.3,681,Pew Research Center,Pew_2009春_25国,1.56376431075844,0.913298766353563,12,2.02174352743231,1.59653478029017,12,1.22619221681611,2.44811924992127,12,,,,0.834123370509901,0.834123370509901,8,0.833790213559757,2,0,1,1,1,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0
Canada,2013,好感度%（四级题，1-2档）,42.8,45.1,616,Pew Research Center,Pew_2013_39国,1.21834666040508,0.736745790201124,12,0.995502678839597,2.6333699439621,12,2.30169348352422,2.21518561083243,12,,,,0.0583620432671324,0.0583620432671324,8,-0.0132874934431837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2016,好感度%（四级题，1-2档）,45.3,43.4,905,Pew Research Center,Pew_2016_19国,1.17182528651417,0.660358204333076,12,2.38374175880885,1.66692158643369,12,0.475289808636059,2.43175126701519,12,,,,0.224123010626698,0.224123010626698,8,0.16771201660018,3,1,0,2,0,1,1,3,0,3,1,2,0,0,0,0,3,0,0,0,0
Canada,2017,好感度%（四级题，1-2档）,45.7,41.7,893,Pew Research Center,Pew_2017_38国,1.33839650385082,0.377276649223558,12,2.4555585729938,1.46511414194765,12,-0.933065061175069,3.58410765733261,12,,,,0.250644765404229,0.250644765404229,8,0.196671938207118,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Canada,2018,好感度%（四级题，1-2档）,44.5,45.9,955,Pew Research Center,Pew_2018_27国,0.817759107234616,1.06822730455019,12,0.24244413346659,1.67547100196114,12,0.0777025488412568,2.63983521827338,12,,,,0.171079501071637,0.171079501071637,8,0.109792173386304,2,0,2,0,1,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0
Canada,2019,好感度%（四级题，1-2档）,27.8,68.1,963,Pew Research Center,Pew_2019_34国,-1.1103268199054,0.58995745814546,12,-2.64396020760999,1.76214667216703,12,-1.16022372669289,0.852348252986228,3,,,,-0.936203760890263,-0.936203760890263,8,-1.09928455370336,2,0,1,1,1,0,1,2,1,0,0,0,1,1,0,1,0,0,1,0,0
France,2005,好感度%（四级题，1-2档）,57.9,41.7,748,Pew Research Center,Pew_2005_22国,0.809388827504001,1.22622671899939,12,1.82221048178563,0.993923871517573,12,2.5752371412497,2.08771274979225,12,6.25833333333333,0.0996204919895623,12,1.05955828611891,1.05955828611891,14,1.07994954721873,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
France,2006,好感度%（四级题，1-2档）,66.4,32.9,899,Pew Research Center,Pew_2006_15国,2.03829435213318,0.856106143035398,12,1.9119626687086,0.588616875287966,12,2.64616947318573,1.39875187706554,12,6.475,0.0866025403784435,12,1.62314557514144,1.62314557514144,14,1.69534788136617,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
