Partner,Index_Type,YearMonth,Index_Value
Australia,Aggregated,2011-11,2.9999999999999964
Australia,Aggregated,2011-12,-2.6999999999999993
Australia,Aggregated,2012-01,-7.0
Australia,Aggregated,2012-02,1.0
Australia,Aggregated,2012-03,4.999999999999998
Australia,Aggregated,2012-04,2.9999999999999964
Australia,Aggregated,2012-05,4.700318468107579
Australia,Aggregated,2012-06,1.0
Australia,Aggregated,2012-07,2.333333333333334
Australia,Aggregated,2012-08,2.731780959380787
Australia,Aggregated,2012-09,3.1421356237309546
Australia,Aggregated,2012-10,3.5647531512197013
Australia,Aggregated,2012-11,4.0
Australia,Aggregated,2012-12,0.9702104444654154
Australia,Aggregated,2013-01,5.199999999999996
Australia,Aggregated,2013-02,3.5120639469373884
Australia,Aggregated,2013-03,2.0
Australia,Aggregated,2013-04,1.9811916252095862
Australia,Aggregated,2013-05,-4.1
Australia,Aggregated,2013-06,3.3999999999999986
Australia,Aggregated,2013-07,1.3937458913009149
Australia,Aggregated,2013-08,4.0
Australia,Aggregated,2013-09,4.529018728915746
Australia,Aggregated,2013-10,0.7680828875571315
Australia,Aggregated,2013-11,0.7549463710429194
Australia,Aggregated,2013-12,-1.9999999999999982
Australia,Aggregated,2014-01,1.7763568394002505e-15
Australia,Aggregated,2014-02,4.149999999999997
Australia,Aggregated,2014-03,0.48646097325983106
Australia,Aggregated,2014-04,2.0876933054220643
Australia,Aggregated,2014-05,2.284959903247893
Australia,Aggregated,2014-06,1.7763568394002505e-15
Australia,Aggregated,2014-07,-3.166666666666668
Australia,Aggregated,2014-08,-1.6000000000000032
Australia,Aggregated,2014-09,1.4418648119966324
Australia,Aggregated,2014-10,-0.36666666666666536
Australia,Aggregated,2014-11,1.6445506028738137
Australia,Aggregated,2014-12,1.771636652249084
Australia,Aggregated,2015-01,1.9000000000000004
Australia,Aggregated,2015-02,6.399999999999999
Australia,Aggregated,2015-03,2.280759945607688
Australia,Aggregated,2015-04,2.599999999999996
Australia,Aggregated,2015-05,3.5189531303052224
Australia,Aggregated,2015-06,4.499999999999998
Australia,Aggregated,2015-07,-1.9999999999999982
Australia,Aggregated,2015-08,-0.30888219127672123
