db,category_4,mean,sd,n,se,ci_lower,ci_upper
GDELT,Chinese outbound visit,0.3986106968198719,0.8425138417075263,121,0.07659216742795694,0.2484900486610763,0.5487313449786675
GDELT,Partner inbound visit,0.36942233425060966,0.9305130642422832,159,0.0737944861128792,0.22478514146936643,0.5140595270318529
GDELT,Remote talk,0.2297639711734903,0.6669161847023237,18,0.15719365222869106,-0.07833558719474415,0.5378635295417247
GDELT,Third-party meeting,0.16795617056653056,0.7844404921918599,134,0.06776533729520491,0.035136109467928944,0.3007762316651322
ICEWS,Chinese outbound visit,0.41451578915822024,1.0844815147236,121,0.09858922861123637,0.22128090108019696,0.6077506772362435
ICEWS,Partner inbound visit,0.37451846923328364,1.2885943472070889,158,0.10251506192682693,0.17358894785670287,0.5754479906098644
ICEWS,Remote talk,0.41872737364015833,1.1256308979992666,18,0.2653137470294615,-0.10128757053758619,0.9387423178179028
ICEWS,Third-party meeting,0.18747422329933933,0.9575836493136585,134,0.08272262794950434,0.025337872518310822,0.34961057408036783
