term,actual_coef,placebo_mean,placebo_sd,placebo_pvalue,n_perm
Event_Positive_x_z_trade_dep,-0.0202846742808378,-0.000758434436234253,0.0222684287366332,0.428,500
Event_Negative_x_z_trade_dep,-0.0384980318683023,-0.00378091908617442,0.0246989680875777,0.068,500
Event_Positive_x_FTA,0.127764112450764,0.0692515527621915,0.0469657068328229,0.11,500
Event_Negative_x_FTA,-0.0725579441810219,-0.0176603469224732,0.0465844089553539,0.132,500
Event_Positive_x_developed,0.00921464362379532,0.000614285960040432,0.039771046995064,0.79,500
Event_Negative_x_developed,0.0849477749255567,0.0259255185350107,0.0582788770604699,0.154,500
