trade,variable,estimate,se,pvalue,n,sig
Trade_Total,Event_Positive,-0.0414765741967323,0.0269602573347378,0.123942555539068,6685,""
Trade_Total,Event_Negative,-0.0158326712191879,0.0427984206097437,0.711430269551135,6685,""
Trade_Total,Event_Neutral,0.0371439762769406,0.0216243466996048,0.0858527338352713,6685,*
Trade_Total,Event_Positive_x_z_trade_dep,-0.0224534571569144,0.0151081618488631,0.137231355508387,6685,""
Trade_Total,Event_Positive_x_FTA_Dummy,0.115231226159385,0.0350789919350217,0.00102016038679935,6685,***
Trade_Total,Event_Positive_x_developed,-0.0823282332097758,0.0388496048737643,0.0340775899608428,6685,**
Trade_Total,Event_Positive_x_us_ally,0.10464510927115,0.0362451323360895,0.00388749686520183,6685,***
Trade_Total,Event_Negative_x_z_trade_dep,-0.0386542760889204,0.00796706132508815,1.22370137512996e-06,6685,***
Trade_Total,Event_Negative_x_FTA_Dummy,-0.0436661844967033,0.0326386597474615,0.18093980926552,6685,""
Trade_Total,Event_Negative_x_developed,0.0823739534797955,0.062208754402335,0.1854519978845,6685,""
Trade_Total,Event_Negative_x_us_ally,0.0093761004001183,0.0468616239143613,0.841417569406922,6685,""
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0103664689790195,0.00495392271855017,0.0363868550587894,6685,**
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0318565422188623,0.0242030828572945,0.188100760403066,6685,""
Trade_Total,Event_Neutral_x_developed,-0.00622183937724193,0.0212317011268678,0.769487916963515,6685,""
Trade_Total,ln_GDP_product,0.76677972443518,0.214514374381756,0.000350909733267595,6685,***
Trade_Total,ln_ER,-0.0453567913838689,0.146447378586228,0.756778517930313,6685,""
Trade_Total,FTA_Dummy,-0.102533908522701,0.0794631130198553,0.196934926212863,6685,""
Trade_Exports,Event_Positive,-0.0262709164266486,0.0320331786114871,0.412150086576093,6685,""
Trade_Exports,Event_Negative,0.0233592862389212,0.0459722233247981,0.611371018688604,6685,""
Trade_Exports,Event_Neutral,0.0213997210502243,0.0206101483289418,0.299125801115422,6685,""
Trade_Exports,Event_Positive_x_z_trade_dep,-0.027479016220636,0.0098061186536024,0.00507504153821646,6685,***
Trade_Exports,Event_Positive_x_FTA_Dummy,0.122937430707245,0.0429699908091198,0.00422298155172625,6685,***
Trade_Exports,Event_Positive_x_developed,-0.0827797923740559,0.0408530458891989,0.0427358926290327,6685,**
Trade_Exports,Event_Positive_x_us_ally,0.089400709915708,0.0423510809155973,0.0347772274975686,6685,**
Trade_Exports,Event_Negative_x_z_trade_dep,-0.0351600490175377,0.00574026628646119,9.05925670713452e-10,6685,***
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0647039784688221,0.0414964207028271,0.118933318292261,6685,""
Trade_Exports,Event_Negative_x_developed,0.0106153718358961,0.0574516221894285,0.853408953105408,6685,""
Trade_Exports,Event_Negative_x_us_ally,0.0310742827535131,0.048943185729233,0.525490250367224,6685,""
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.00991887014985093,0.00520894232089231,0.0568840871951222,6685,*
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.0183040168967231,0.0240328050401971,0.446283060626861,6685,""
Trade_Exports,Event_Neutral_x_developed,0.00242854225514926,0.0200784072984696,0.903728315327369,6685,""
Trade_Exports,ln_GDP_product,0.814525298375287,0.183249601927272,8.79346724635576e-06,6685,***
Trade_Exports,ln_ER,-0.138782916241314,0.193021485736513,0.472139425787376,6685,""
Trade_Exports,FTA_Dummy,-0.0147789548401958,0.0630936872361713,0.81480002221633,6685,""
Trade_Imports,Event_Positive,-0.0492514163011952,0.0315726539885391,0.118774282012376,6685,""
Trade_Imports,Event_Negative,-0.0737930380899618,0.0426257545534606,0.0834188943228082,6685,*
Trade_Imports,Event_Neutral,0.0541576502339791,0.029177836332413,0.0634360421371051,6685,*
Trade_Imports,Event_Positive_x_z_trade_dep,-0.000362266734583235,0.0273960239904738,0.989449614618847,6685,""
Trade_Imports,Event_Positive_x_FTA_Dummy,0.103342524021594,0.0415193104026279,0.0128094631060524,6685,**
Trade_Imports,Event_Positive_x_developed,-0.112076732195443,0.0481349017391623,0.0198915051979059,6685,**
Trade_Imports,Event_Positive_x_us_ally,0.133943935098408,0.056617076984411,0.0179918004706719,6685,**
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0415349393430112,0.0125329514592345,0.000919521348912473,6685,***
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0298473909080781,0.02763278550351,0.28007800547745,6685,""
Trade_Imports,Event_Negative_x_developed,0.214719033276504,0.0802776826576195,0.00747952712583219,6685,***
Trade_Imports,Event_Negative_x_us_ally,-0.0518748718584424,0.0535352285470345,0.332552315196847,6685,""
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0185985961867074,0.00713073827659162,0.00910121263345405,6685,***
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.0462771075270173,0.0324378469671901,0.153683888075532,6685,""
Trade_Imports,Event_Neutral_x_developed,-0.00105074741980118,0.0265894062785739,0.968477784725003,6685,""
Trade_Imports,ln_GDP_product,0.691636196113204,0.270017741390761,0.0104237074911687,6685,**
Trade_Imports,ln_ER,0.106857496208734,0.161202074486035,0.507407947883489,6685,""
Trade_Imports,FTA_Dummy,-0.135661172665222,0.103894095243949,0.191632815265126,6685,""
