trade,variable,estimate,pvalue,sig,dropped
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0270190008732369,0.00647332906918709,***,AU
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0467690090918324,0.205456660110968,"",AU
Trade_Imports,Event_Negative_x_developed,0.175673128354262,0.0130212819054135,**,AU
Trade_Imports,Event_Negative_x_us_ally,-0.0732718796414529,0.26767083594663,"",AU
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0201863772957241,0.00486194858231151,***,AU
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.0244257599759908,0.350898964776736,"",AU
Trade_Imports,Event_Neutral_x_developed,0.00868474497451528,0.754565305108188,"",AU
Trade_Total,Event_Positive_x_z_trade_dep,-0.0220809829558453,0.155119657614941,"",BE
Trade_Total,Event_Positive_x_FTA_Dummy,0.115171580304788,0.00105756455707419,***,BE
Trade_Total,Event_Positive_x_developed,-0.0827214437537583,0.0335700925181998,**,BE
Trade_Total,Event_Positive_x_us_ally,0.103950909553882,0.00450725945258552,***,BE
Trade_Total,Event_Negative_x_z_trade_dep,-0.038836530456468,1.12615484546618e-06,***,BE
Trade_Total,Event_Negative_x_FTA_Dummy,-0.0437639717007328,0.182464985278599,"",BE
Trade_Total,Event_Negative_x_developed,0.0808924530702075,0.19495236684776,"",BE
Trade_Total,Event_Negative_x_us_ally,0.0110166850021502,0.814386211872831,"",BE
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0108687213270614,0.0406954667888281,**,BE
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0327633996161749,0.185765442278781,"",BE
Trade_Total,Event_Neutral_x_developed,-0.00516175050357451,0.81017426789096,"",BE
Trade_Exports,Event_Positive_x_z_trade_dep,-0.0273162606161069,0.00623363673434854,***,BE
Trade_Exports,Event_Positive_x_FTA_Dummy,0.122336839756227,0.00477919763437515,***,BE
Trade_Exports,Event_Positive_x_developed,-0.0826041600183077,0.0451620754921275,**,BE
Trade_Exports,Event_Positive_x_us_ally,0.088955912175422,0.0384102329799762,**,BE
Trade_Exports,Event_Negative_x_z_trade_dep,-0.035339327155823,6.48314285462753e-10,***,BE
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0656248546815535,0.11546452675442,"",BE
