dimension,group,trade,event,cum_estimate,cum_se,n_h,n_country,cum_pvalue,sig,trade_label
developed,发达,Trade_Imports,Event_Positive,-0.0431727109083804,0.0475754125077613,5,13,0.364164403145422,"",进口
developed,发达,Trade_Imports,Event_Negative,-0.0401981912178105,0.0619955618140961,5,13,0.516723465308975,"",进口
developed,发达,Trade_Imports,Event_Neutral,0.0767003859299881,0.0219801468625442,5,13,0.000483870409603604,***,进口
ever_fta,无FTA,Trade_Imports,Event_Positive,-0.0421331270928934,0.0492925476204874,5,16,0.392685946481121,"",进口
ever_fta,无FTA,Trade_Imports,Event_Negative,-0.269254806340967,0.0509871382249452,5,16,1.28594503900524e-07,***,进口
ever_fta,无FTA,Trade_Imports,Event_Neutral,0.107946475472976,0.0370641965486326,5,16,0.00358641040276454,***,进口
ever_fta,有FTA,Trade_Imports,Event_Positive,0.100315689862165,0.063941374065421,5,9,0.116678283285251,"",进口
ever_fta,有FTA,Trade_Imports,Event_Negative,0.0437796273143196,0.0478474047214158,5,9,0.360199837206332,"",进口
ever_fta,有FTA,Trade_Imports,Event_Neutral,0.0691863120926877,0.0352747006964157,5,9,0.0498372900537981,**,进口
trade_dep,高依存,Trade_Imports,Event_Positive,0.0667950242772806,0.0533910200326234,5,8,0.2109149467868,"",进口
trade_dep,高依存,Trade_Imports,Event_Negative,-0.157068507306193,0.0746560191623086,5,8,0.0353875115597147,**,进口
trade_dep,高依存,Trade_Imports,Event_Neutral,0.0659312661590732,0.0247960150740494,5,8,0.00783855154443435,***,进口
trade_dep,低依存,Trade_Imports,Event_Positive,-0.122621908407235,0.082579877500557,5,9,0.13757336936949,"",进口
trade_dep,低依存,Trade_Imports,Event_Negative,0.132930643705879,0.134104382016348,5,9,0.321564704160035,"",进口
trade_dep,低依存,Trade_Imports,Event_Neutral,0.216819036873935,0.0997723139433015,5,9,0.0297699097397941,**,进口
trade_dep,中依存,Trade_Imports,Event_Positive,0.0771789280031668,0.0585866813543592,5,8,0.18772268604479,"",进口
trade_dep,中依存,Trade_Imports,Event_Negative,-0.185771223765661,0.0911380639835636,5,8,0.0415149965232464,**,进口
trade_dep,中依存,Trade_Imports,Event_Neutral,0.251721218015055,0.0690610634027306,5,8,0.000267487539207453,***,进口
