trade,variable,estimate,se,z,pvalue,n,n_country,sig,trade_label
Trade_Total,Event_Positive,-0.00520677133741213,0.0180785943123552,-0.28800753241383,0.773340972825587,6685,25,"",总贸易
Trade_Total,Event_Negative,-0.014024579983777,0.0194562613597433,-0.72082604794748,0.471016547028674,6685,25,"",总贸易
Trade_Total,Event_Neutral,0.00702094660525783,0.00490100008635473,1.43255386279332,0.151985374809246,6685,25,"",总贸易
Trade_Exports,Event_Positive,-0.000179708162245881,0.0192414078626459,-0.009339657655444,0.992548139690336,6685,25,"",出口
Trade_Exports,Event_Negative,-0.0167272873226333,0.017732953419947,-0.943288290816659,0.34553346341777,6685,25,"",出口
Trade_Exports,Event_Neutral,0.00142288917966389,0.00560597782723381,0.253816412321773,0.799637393370558,6685,25,"",出口
Trade_Imports,Event_Positive,-0.0040041720260959,0.0205402050697769,-0.194943137738566,0.84543746294882,6685,25,"",进口
Trade_Imports,Event_Negative,-0.00702502347328467,0.0208450429357273,-0.337011705610073,0.736108075969724,6685,25,"",进口
Trade_Imports,Event_Neutral,0.0132283952733572,0.00823522429814618,1.60631875883879,0.108203890755119,6685,25,"",进口
