ally,mean,se,n,set
Ally,-0.41032566205240867,0.13397067458565068,66,core5
Non-Ally,0.062247238359115595,0.058411857376048947,218,core5
Ally,-0.28936617028360995,0.13382552452034988,56,treaty_allies
Non-Ally,0.011811007906624498,0.06066562252921396,228,treaty_allies
Ally,-0.21498335887277453,0.09748431032652104,114,broad_west
Non-Ally,0.064685336343085445,0.06515388403425629,170,broad_west
