window_id,window_label,db,trade,trade_label,avg_response_lag_Pol_Agg,avg_response_lag_Pol_CHN_Partner,avg_response_lag_Pol_Partner_CHN,immediate_share_Pol_Agg,immediate_share_Pol_CHN_Partner,immediate_share_Pol_Partner_CHN,peak_lag_Pol_Agg,peak_lag_Pol_CHN_Partner,peak_lag_Pol_Partner_CHN,sig_lags_count_Pol_Agg,sig_lags_count_Pol_CHN_Partner,sig_lags_count_Pol_Partner_CHN
1,2004,GDELT,Trade_Exports,出口,2.46180840051713,2.04169911580569,2.79843081997185,0.122787360954458,0.322096452713089,0.0475526663907408,2,0,3,0,0,0
1,2004,GDELT,Trade_Imports,进口,2.3833470928694,3.53669838675327,2.40405346045754,0.305225737583473,0.197497311310714,0.263499305115248,0,6,0,3,2,3
1,2004,GDELT,Trade_Total,总贸易,2.62534618770406,2.24791767412635,2.77252593029705,0.246397390294848,0.332105265388665,0.242365771375114,0,0,0,2,1,1
1,2004,ICEWS,Trade_Exports,出口,3.01764464994116,3.93782355630008,3.1266332288364,0.134181044191662,0.0757801014011613,0.0270644697237584,2,6,4,0,0,0
1,2004,ICEWS,Trade_Imports,进口,2.98013301199765,3.39071441272974,3.0346588449392,0.18240357227973,0.13798990468256,0.131853800558548,5,5,2,2,1,3
1,2004,ICEWS,Trade_Total,总贸易,3.04376314626182,3.65463216388542,3.08309088978132,0.177720263437618,0.134974880005417,0.111782305438619,6,6,2,1,0,2
1,2004,Phoenix,Trade_Exports,出口,2.94842892020458,3.64478521223242,3.5704989967437,0.163256219453392,0.149029728314918,0.0773190342792584,4,6,4,0,0,1
1,2004,Phoenix,Trade_Imports,进口,3.11122381106015,3.26443856115187,2.65945535486045,0.191456600483532,0.227234196152854,0.171944374279325,5,6,5,2,1,2
1,2004,Phoenix,Trade_Total,总贸易,3.19112013833726,3.61850174696063,2.91997866961277,0.177871363106453,0.206108686071875,0.245556544640144,6,6,0,3,2,0
1,2004,Tsinghua,Trade_Exports,出口,2.62464648396126,,,0.242410164234856,,,1,,,0,,
1,2004,Tsinghua,Trade_Imports,进口,3.57281983124694,,,0.209259100175033,,,4,,,3,,
1,2004,Tsinghua,Trade_Total,总贸易,3.22201889022616,,,0.175616208153837,,,5,,,1,,
2,2005,GDELT,Trade_Exports,出口,3.86966458020247,3.69101287930922,2.94188574361987,0.114984907716988,0.140869579102583,0.183671168741501,5,5,3,0,0,0
2,2005,GDELT,Trade_Imports,进口,3.28762126985154,3.88614240984806,3.07082910329039,0.113578721393499,0.0611515608284925,0.122604287863575,4,6,5,0,0,1
2,2005,GDELT,Trade_Total,总贸易,3.03459100428808,2.98336386184532,3.07024745136627,0.136470015376466,0.0996877646964961,0.0634187306769112,3,3,5,0,0,0
2,2005,ICEWS,Trade_Exports,出口,2.27946997850493,2.39311188781838,2.48727190646931,0.239173322826588,0.237940418625646,0.270884354623338,0,0,0,1,3,1
2,2005,ICEWS,Trade_Imports,进口,3.384125759641,3.92429106036027,3.27130694276966,0.0964414554269418,0.0971135767162961,0.0563112223637574,2,6,2,2,1,1
2,2005,ICEWS,Trade_Total,总贸易,2.84860439812017,3.22054941384843,2.63840950120389,0.180133371388705,0.15290852036895,0.233802279789651,3,6,4,1,0,3
2,2005,Phoenix,Trade_Exports,出口,2.46040244863871,3.0680105286476,3.05997374503508,0.267735404465422,0.0238531818860342,0.170289718393188,4,3,4,0,1,1
2,2005,Phoenix,Trade_Imports,进口,2.44562937606634,1.86460269797798,2.85458619420813,0.297163713531409,0.398976146537263,0.191907103395687,0,0,5,1,1,0
2,2005,Phoenix,Trade_Total,总贸易,3.95070276415153,3.10774240620236,3.28292897551274,0.0369068436410289,0.225079992603727,0.160282698750204,4,4,4,1,0,1
2,2005,Tsinghua,Trade_Exports,出口,3.31437457097196,,,0.120398033730006,,,5,,,1,,
2,2005,Tsinghua,Trade_Imports,进口,3.94430904756786,,,0.0948957169774081,,,5,,,1,,
2,2005,Tsinghua,Trade_Total,总贸易,4.16041151873814,,,0.0247941890453635,,,5,,,2,,
3,2006,GDELT,Trade_Exports,出口,2.56278777676384,3.8288450365117,2.07915870493073,0.185286383852069,0.0407397995265746,0.190983458019079,3,5,3,1,0,0
3,2006,GDELT,Trade_Imports,进口,3.06873083982193,3.38335760925054,2.8880182300379,0.197072578367654,0.131032603999902,0.224866556996923,6,6,6,0,0,0
3,2006,GDELT,Trade_Total,总贸易,2.74434340850758,3.70169553764738,2.08197347658471,0.167812267211776,0.0544181749038506,0.220826336632954,1,5,1,0,0,0
3,2006,ICEWS,Trade_Exports,出口,2.53244058928039,2.22256908002122,2.56748668211558,0.211673203347271,0.230604680805933,0.243276180116886,4,4,0,3,4,5
3,2006,ICEWS,Trade_Imports,进口,3.01999826531689,3.3146168297769,2.17025751018033,0.172341159643777,0.0463268166981153,0.269469910453621,4,4,0,0,1,0
3,2006,ICEWS,Trade_Total,总贸易,2.69247526817774,2.35484712388465,2.50769339882475,0.181499508398097,0.171023581180081,0.236264032015501,4,4,0,4,2,4
3,2006,Phoenix,Trade_Exports,出口,2.8723823097246,2.92612482103255,2.75458982523322,0.161292117108228,0.116780977319347,0.146412842905937,3,3,3,0,1,0
3,2006,Phoenix,Trade_Imports,进口,3.6990448884232,3.21210317898629,3.02257518067214,0.0746540172151958,0.205919103400485,0.0373988408482314,5,5,1,0,1,0
3,2006,Phoenix,Trade_Total,总贸易,3.68664987819006,3.25932056690683,2.88537869610549,0.172292081364598,0.115535884655694,0.19529452630731,5,1,4,1,1,0
