h,estimate,se,pvalue,n,n_country,window_id,db,trade,pol_var
5,0.00421322428933699,0.00205035055538007,0.0398905994881934,1173,23,1,GDELT,Trade_Imports,Pol_Agg
6,0.000380330942090791,0.00283240911912192,0.893182550818475,1173,23,1,GDELT,Trade_Imports,Pol_Agg
0,0.00405782342519118,0.00355268992986521,0.253377798981048,1173,23,1,GDELT,Trade_Imports,Pol_CHN_Partner
1,8.04844566507034e-05,0.00397762597111642,0.983856470157034,1173,23,1,GDELT,Trade_Imports,Pol_CHN_Partner
2,0.00261143397606338,0.00245001674145988,0.286476021396458,1173,23,1,GDELT,Trade_Imports,Pol_CHN_Partner
3,-0.00243200348976721,0.00284822418379594,0.393178909596819,1173,23,1,GDELT,Trade_Imports,Pol_CHN_Partner
4,0.00173967195130969,0.00264760451052472,0.511133368616876,1173,23,1,GDELT,Trade_Imports,Pol_CHN_Partner
5,0.00464108647549076,0.00209622582858779,0.0268273845652171,1173,23,1,GDELT,Trade_Imports,Pol_CHN_Partner
6,0.00498371732727755,0.0024296952636004,0.040250422636588,1173,23,1,GDELT,Trade_Imports,Pol_CHN_Partner
0,0.00735855439484473,0.00214141950437566,0.000589723114862762,1173,23,1,GDELT,Trade_Imports,Pol_Partner_CHN
1,0.00297704014941684,0.00285684693454169,0.297378307011956,1173,23,1,GDELT,Trade_Imports,Pol_Partner_CHN
2,0.00477463343538056,0.00197776128517338,0.0157715075291144,1173,23,1,GDELT,Trade_Imports,Pol_Partner_CHN
3,0.00313948504446955,0.00217731685858321,0.149329048565631,1173,23,1,GDELT,Trade_Imports,Pol_Partner_CHN
4,0.00405405546095644,0.00220837348655995,0.0663923725447888,1173,23,1,GDELT,Trade_Imports,Pol_Partner_CHN
5,0.0047597696466777,0.00189299860629732,0.0119232619880017,1173,23,1,GDELT,Trade_Imports,Pol_Partner_CHN
6,-0.000862738150562743,0.00378820394106176,0.819845791084285,1173,23,1,GDELT,Trade_Imports,Pol_Partner_CHN
0,0.00337108507913156,0.00230161431636843,0.143013388474038,1171,23,1,ICEWS,Trade_Total,Pol_Agg
1,0.00290043778255176,0.00183781520055997,0.114519941057018,1171,23,1,ICEWS,Trade_Total,Pol_Agg
2,0.00397837491590413,0.00205074442380084,0.0523837948433963,1171,23,1,ICEWS,Trade_Total,Pol_Agg
3,1.36297500913272e-05,0.00154316275432444,0.99295289771394,1171,23,1,ICEWS,Trade_Total,Pol_Agg
4,-0.000834051932805297,0.00140277724329071,0.552129667011975,1171,23,1,ICEWS,Trade_Total,Pol_Agg
5,0.00372415768473445,0.00197827168395503,0.0597639608715445,1171,23,1,ICEWS,Trade_Total,Pol_Agg
6,0.00414675307601531,0.00168256304780667,0.0137187169864757,1171,23,1,ICEWS,Trade_Total,Pol_Agg
0,0.00216336227994506,0.00309776980879705,0.484951326869657,1163,23,1,ICEWS,Trade_Total,Pol_CHN_Partner
