h,estimate,se,pvalue,n,n_country,db,trade,pol_var,window_id,window_label
0,0.0136511280968459,0.00737455651107987,0.0641534802267202,6535,25,GDELT,Trade_Imports,Pol_Agg,0,Full Sample
1,0.00788432879028811,0.00443590843286617,0.0755044840992975,6535,25,GDELT,Trade_Imports,Pol_Agg,0,Full Sample
2,0.00729876048398462,0.00398874217085526,0.0672738484188039,6535,25,GDELT,Trade_Imports,Pol_Agg,0,Full Sample
3,0.0070129767898261,0.00400694529059927,0.0800828986957365,6535,25,GDELT,Trade_Imports,Pol_Agg,0,Full Sample
4,0.00652146330172945,0.00419349590151,0.119913293223183,6535,25,GDELT,Trade_Imports,Pol_Agg,0,Full Sample
5,0.0107816040534643,0.0052210579343191,0.0389208361791113,6535,25,GDELT,Trade_Imports,Pol_Agg,0,Full Sample
6,0.0118368693095387,0.00492945330972713,0.0163389923391805,6535,25,GDELT,Trade_Imports,Pol_Agg,0,Full Sample
0,0.0101608180241811,0.00682952038543192,0.136809146374598,6535,25,GDELT,Trade_Imports,Pol_CHN_Partner,0,Full Sample
1,0.00577484225572166,0.00430670889065577,0.179954708859645,6535,25,GDELT,Trade_Imports,Pol_CHN_Partner,0,Full Sample
2,0.00523880174226023,0.00433065167355203,0.226392929636449,6535,25,GDELT,Trade_Imports,Pol_CHN_Partner,0,Full Sample
3,0.00535171415059546,0.00424326617656911,0.207227728760741,6535,25,GDELT,Trade_Imports,Pol_CHN_Partner,0,Full Sample
4,0.00605746062395002,0.00390271969757223,0.120635270946319,6535,25,GDELT,Trade_Imports,Pol_CHN_Partner,0,Full Sample
5,0.00778965504395937,0.00474287722446714,0.100509165862573,6535,25,GDELT,Trade_Imports,Pol_CHN_Partner,0,Full Sample
6,0.00956230856238894,0.00482982842696577,0.0477210202643301,6535,25,GDELT,Trade_Imports,Pol_CHN_Partner,0,Full Sample
0,0.0135375763321856,0.00706376201193759,0.0553037076749295,6535,25,GDELT,Trade_Imports,Pol_Partner_CHN,0,Full Sample
1,0.00849654457854539,0.0044825260332245,0.0580286578302406,6535,25,GDELT,Trade_Imports,Pol_Partner_CHN,0,Full Sample
2,0.00736555774706297,0.00424293766916609,0.0825714213239152,6535,25,GDELT,Trade_Imports,Pol_Partner_CHN,0,Full Sample
3,0.0079811349946303,0.00428771520853549,0.0626883061023506,6535,25,GDELT,Trade_Imports,Pol_Partner_CHN,0,Full Sample
