variable_label,estimate,se,z,pval,sig
Political shock (AR(1) residual),0.0127358176427652,0.0057290399290537,2.22302825612683,0.0262138947041412,**
ln(GDP_i \times GDP_j),0.769150626575789,0.213725237203654,3.59878242101509,0.000319710528301786,***
ln(exchange rate),-0.0446538861798639,0.146644008880507,-0.304505356343948,0.760742912612521,""
FTA dummy,-0.101013935798625,0.0790292242084091,-1.27818458058299,0.201184351633693,""
