trade,estimate,se,pvalue,pct_change,ci_lower,ci_upper,n,n_country,trade_label,type
Trade_Total,-0.102951536397661,0.0788984116670873,0.19193985501485,-9.78293051361423,-22.7089811870997,5.30485626556261,6685,25,总贸易,Actual
Trade_Exports,-0.0140295844515538,0.0631464503276491,0.824177385535844,-1.39316284606321,-12.872413236585,11.5985039262656,6685,25,出口,Actual
Trade_Imports,-0.138091980927813,0.102373387193014,0.177367459824554,-12.8981429035236,-28.7335003651618,6.45581793028398,6685,25,进口,Actual
Trade_Total,-0.0475885883243937,0.0885272671255656,0.590881860964373,-4.64740018795077,-19.8365116205346,13.4196936126077,6685,25,总贸易,Placebo (+24m)
Trade_Exports,0.0572144210688406,0.0744674055091071,0.442300093906289,5.88828328442277,-8.49180855540551,22.5281404857717,6685,25,出口,Placebo (+24m)
Trade_Imports,-0.101192911022477,0.113218226614192,0.371436187862016,-9.62413289410606,-27.6098999209912,12.8303089266021,6685,25,进口,Placebo (+24m)
