db,trade,pol_var,r_raw_z,r_raw_ar1,r_z_ar1,n_obs
GDELT,Trade_Exports,Pol_Agg,0.861278153477636,0.853510882347504,0.768779026087901,20
GDELT,Trade_Exports,Pol_CHN_Partner,0.914261039436072,0.834578536294263,0.731550444182619,20
GDELT,Trade_Exports,Pol_Partner_CHN,0.86706656335272,0.901813113606348,0.836695898692648,20
GDELT,Trade_Imports,Pol_Agg,0.946962624234437,0.651339443686115,0.652200156825254,20
GDELT,Trade_Imports,Pol_CHN_Partner,0.968228553298704,0.719423984721779,0.759738522416358,20
GDELT,Trade_Imports,Pol_Partner_CHN,0.934258968320859,0.823805070886239,0.767581109501883,20
GDELT,Trade_Total,Pol_Agg,0.944524167994124,0.93884964037453,0.917937894675114,20
GDELT,Trade_Total,Pol_CHN_Partner,0.953571122021236,0.762199355180655,0.765308015860314,20
GDELT,Trade_Total,Pol_Partner_CHN,0.897821505096621,0.885750227282488,0.874500260205782,20
ICEWS,Trade_Exports,Pol_Agg,0.615675598446034,0.22085537040566,0.58819377115168,20
ICEWS,Trade_Exports,Pol_CHN_Partner,0.808978739543479,0.277135446589333,0.559278425126173,20
ICEWS,Trade_Exports,Pol_Partner_CHN,0.865216781120099,0.499568226629616,0.630833754161205,20
ICEWS,Trade_Imports,Pol_Agg,0.865107142907261,0.805580371114851,0.642837478683125,20
ICEWS,Trade_Imports,Pol_CHN_Partner,0.751200374956709,0.627739737652983,0.614692027324805,20
ICEWS,Trade_Imports,Pol_Partner_CHN,0.880670229260193,0.870198078851282,0.86854560572722,20
ICEWS,Trade_Total,Pol_Agg,0.351421160965009,0.0916668626807099,0.457218185047222,20
ICEWS,Trade_Total,Pol_CHN_Partner,0.753393933786825,0.318703012181759,0.623429325892759,20
ICEWS,Trade_Total,Pol_Partner_CHN,0.813524166068257,0.78074008337322,0.768787734886785,20
Phoenix,Trade_Exports,Pol_Agg,0.63737176940995,0.213489704407451,0.251109705069011,18
Phoenix,Trade_Exports,Pol_CHN_Partner,0.767126996426958,0.672096925539726,0.623666623692388,18
Phoenix,Trade_Exports,Pol_Partner_CHN,0.928893511776976,0.584579794126016,0.617444925642015,18
Phoenix,Trade_Imports,Pol_Agg,0.526305066497135,0.284093320330465,0.775571234864003,18
Phoenix,Trade_Imports,Pol_CHN_Partner,0.838338081177506,0.401163561552742,0.651036869660821,18
Phoenix,Trade_Imports,Pol_Partner_CHN,0.903033579795545,0.60494328302158,0.78808541153485,18
Phoenix,Trade_Total,Pol_Agg,0.847463988690375,0.662248745437741,0.913576722130833,18
Phoenix,Trade_Total,Pol_CHN_Partner,0.917853539341804,0.820432705324789,0.736881538811787,18
Phoenix,Trade_Total,Pol_Partner_CHN,0.935242511873731,0.724369179859841,0.71540844979543,18
Tsinghua,Trade_Exports,Pol_Agg,0.866566226247521,0.866566226247521,1,20
Tsinghua,Trade_Imports,Pol_Agg,0.591402538152309,0.591402538152309,1,20
Tsinghua,Trade_Total,Pol_Agg,0.59820038002538,0.59820038002538,1,20
