window_length,lag_order,db,trade,mean_avg_lag,sd_avg_lag,median_avg_lag,mean_peak_lag,n_window
36,3,GDELT,Trade_Total,1.27418422654791,0.385831443018561,1.2225760315121,1.04545454545455,22
36,6,GDELT,Trade_Total,2.78801139072688,0.734363239374551,2.62170467679433,1.86363636363636,22
36,12,GDELT,Trade_Total,5.69730298325849,0.896992627552555,5.75196750721758,4.72727272727273,22
36,3,GDELT,Trade_Exports,1.40712976340876,0.443459932019618,1.51628904535231,1.36363636363636,22
36,6,GDELT,Trade_Exports,2.78120214600372,0.672746023245939,2.81943236260146,2.54545454545455,22
36,12,GDELT,Trade_Exports,5.62071090889345,0.670162354417977,5.40804615302294,3.81818181818182,22
36,3,GDELT,Trade_Imports,1.39719719006267,0.36765632131758,1.36512926450987,1.27272727272727,22
36,6,GDELT,Trade_Imports,2.87394646042464,0.699113003688176,2.90337810932138,2.54545454545455,22
36,12,GDELT,Trade_Imports,5.64770964461573,1.09186406279772,5.63260302497246,5.54545454545455,22
36,3,ICEWS,Trade_Total,1.73047212956172,0.423432449306461,1.75395093017658,2.09090909090909,22
36,6,ICEWS,Trade_Total,2.89147702092853,0.400735254267927,2.87945726070959,2.59090909090909,22
36,12,ICEWS,Trade_Total,6.09065547933868,0.932833363835683,6.09726067686674,6.40909090909091,22
36,3,ICEWS,Trade_Exports,1.7100740956614,0.547969199966217,1.80145959516574,2,22
36,6,ICEWS,Trade_Exports,2.85074827067147,0.659546405594021,2.95324488040071,2.45454545454545,22
36,12,ICEWS,Trade_Exports,5.93870303962602,0.686363341527851,5.78644929481043,5.77272727272727,22
36,3,ICEWS,Trade_Imports,1.62711740271305,0.501431163267276,1.68472955623591,1.68181818181818,22
36,6,ICEWS,Trade_Imports,3.10702616146031,0.587313411678177,3.16033010818129,3.18181818181818,22
36,12,ICEWS,Trade_Imports,5.77729933788983,0.787884154383734,5.63691087712922,5.77272727272727,22
36,3,Phoenix,Trade_Total,1.37858984165835,0.480988429683515,1.50884822120643,1.38888888888889,18
36,6,Phoenix,Trade_Total,3.09658122632882,0.829577096649407,3.23326513850847,3.5,18
36,12,Phoenix,Trade_Total,5.76356418048646,0.990083152293503,5.94050406510936,4.5,18
36,3,Phoenix,Trade_Exports,1.135700607325,0.410464937273424,1.03425935247754,0.722222222222222,18
