event_time,estimate,se,pvalue,trade,pct_change,ci_lower,ci_upper,n,n_country
-12,,,,Trade_Total,,,,213,9
-11,-0.3935393639822,0.0616787049440643,1.7654087176495e-10,Trade_Total,-32.5335240437425,-40.2158509171985,-23.864009979433,213,9
-10,-0.262112771817095,0.123094288541623,0.0332240052684282,Trade_Total,-23.0575750555905,-39.5514488743136,-2.06321498067382,213,9
-9,-0.108942609918226,0.0418069195835358,0.0091646276389449,Trade_Total,-10.3218117593002,-17.3771717270907,-2.66397781046069,213,9
-8,-0.0894905650337077,0.0420628142999274,0.0333747578805573,Trade_Total,-8.5603107612537,-15.7964985814913,-0.702267397153278,213,9
-7,-0.235759827923911,0.0408281372324426,7.72071990552234e-09,Trade_Total,-21.0029620022949,-27.0782309919814,-14.4215493219227,213,9
-6,-0.30706261266552,0.0406231245128986,4.06763341908177e-14,Trade_Total,-26.4395458695788,-32.0694235385418,-20.3430812199287,213,9
-5,-0.110458154025461,0.0926893804865126,0.233377970030914,Trade_Total,-10.4576200712978,-25.3328044658076,7.3809957094803,213,9
-4,-0.148105198102361,0.0372674307236084,7.06402915778607e-05,Trade_Total,-13.7659606402723,-19.8403057031319,-7.2313135731906,213,9
-3,-0.0625368794736025,0.0203726590762754,0.00214311640235999,Trade_Total,-6.06215816069382,-9.73923275730225,-2.23528561751279,213,9
-2,0.0714755147769793,0.0188529867273119,0.000149918873736469,Trade_Total,7.40918510008217,3.51265199990796,11.4523956344387,213,9
0,-0.176777686394474,0.00902067543079505,1.64187802569139e-85,Trade_Total,-16.2033944928,-17.6719417763443,-14.7086516306093,213,9
1,-0.0891735020668347,0.0607509873535757,0.142144233175126,Trade_Total,-8.5313140254411,-18.7992284712366,3.0349879243307,213,9
2,,,,Trade_Total,,,,213,9
3,,,,Trade_Total,,,,213,9
4,,,,Trade_Total,,,,213,9
5,,,,Trade_Total,,,,213,9
6,,,,Trade_Total,,,,213,9
7,,,,Trade_Total,,,,213,9
8,,,,Trade_Total,,,,213,9
9,,,,Trade_Total,,,,213,9
10,,,,Trade_Total,,,,213,9
11,,,,Trade_Total,,,,213,9
12,,,,Trade_Total,,,,213,9
-12,,,,Trade_Exports,,,,213,9
-11,-0.574272991458462,0.0998602473366273,8.88396045312672e-09,Trade_Exports,-43.6885891204598,-53.6986503974813,-31.5144154011463,213,9
-10,-0.611467100774255,0.0989811665520621,6.50789965253723e-10,Trade_Exports,-45.7445696942025,-55.3122239055808,-34.1284804272267,213,9
-9,-0.13185020253414,0.174586066018414,0.450119348388412,Trade_Exports,-12.3527721427613,-37.7516957470158,23.4095714453207,213,9
-8,-0.132099869066108,0.112219759815944,0.239134294261749,Trade_Exports,-12.3746519907305,-29.6755461905774,9.18252752525197,213,9
-7,-0.361413176462343,0.108272144835938,0.000843816261061401,Trade_Exports,-30.3308917365923,-43.6521770310932,-13.8602985798265,213,9
-6,-0.370626436119364,0.091812749623591,5.41934507056757e-05,Trade_Exports,-30.969823479479,-42.3384392151493,-17.3597591602787,213,9
-5,-0.283582329087639,0.0853840264045308,0.000896128520515808,Trade_Exports,-24.6918880893681,-36.2967765347686,-10.972923958242,213,9
-4,-0.163505054536271,0.0575371080566122,0.00448691595796022,Trade_Exports,-15.0837793130438,-24.1397827821568,-4.94669274345553,213,9
-3,-0.0865297009075816,0.024544083856056,0.000422714523883117,Trade_Exports,-8.28916905689498,-12.5966089836735,-3.76944859377737,213,9
-2,0.161080669606484,0.0632306152457604,0.010849452241717,Trade_Exports,17.4779734010333,3.78472996153723,32.9778883611162,213,9
0,-0.112546848289094,0.0239249080004486,2.54900070875075e-06,Trade_Exports,-10.6444515417733,-14.7378593775015,-6.35452051782516,213,9
1,-0.184418359025936,0.063051320551636,0.00344574804985622,Trade_Exports,-16.841217123153,-26.5083908350418,-5.90241187893417,213,9
2,,,,Trade_Exports,,,,213,9
3,,,,Trade_Exports,,,,213,9
4,,,,Trade_Exports,,,,213,9
5,,,,Trade_Exports,,,,213,9
6,,,,Trade_Exports,,,,213,9
7,,,,Trade_Exports,,,,213,9
8,,,,Trade_Exports,,,,213,9
9,,,,Trade_Exports,,,,213,9
10,,,,Trade_Exports,,,,213,9
11,,,,Trade_Exports,,,,213,9
12,,,,Trade_Exports,,,,213,9
-12,,,,Trade_Imports,,,,213,9
-11,-0.207109389936609,0.111749961295088,0.0638352863179409,Trade_Imports,-18.706928131622,-34.6974639840701,1.19918669292083,213,9
-10,0.0942530031131852,0.176857813695385,0.594081377979211,Trade_Imports,9.88377201155968,-22.3057016588519,55.4096453573815,213,9
-9,-0.0891769101845975,0.0955415593720919,0.350622022959697,Trade_Imports,-8.53162576096329,-24.1519634550189,10.3056040345989,213,9
-8,-0.0490480766625659,0.0923804687682342,0.595463429186828,Trade_Imports,-4.78646468919677,-20.5556806659983,14.112845101834,213,9
-7,-0.109321442860657,0.0685351928778343,0.110686754446495,Trade_Imports,-10.3557783769802,-21.6238426957194,2.53228464874229,213,9
-6,-0.252624948743324,0.0862515364170964,0.00340128015144889,Trade_Imports,-22.3240848304264,-34.4054754089111,-8.01750854902217,213,9
-5,0.0179760297507998,0.154608074458866,0.907439847807191,Trade_Imports,1.81385710620252,-24.8027704039196,37.8516410049041,213,9
-4,-0.132208940806627,0.0629844232050312,0.0358104120582325,Trade_Imports,-12.3842089187466,-22.559354710601,-0.872121892756117,213,9
-3,-0.053625613241458,0.030123492624856,0.0750444754514524,Trade_Imports,-5.22131210560014,-10.6552459779459,0.543112769292198,213,9
-2,0.0046947572973261,0.0132630074736079,0.723358510205545,Trade_Imports,0.470579493661916,-2.10754788706512,3.116605273579,213,9
0,-0.220488266852751,0.0142964783573223,1.15439749277065e-53,Trade_Imports,-19.7872949718789,-22.0037443106252,-17.5078599471172,213,9
1,0.012254703116512,0.0582130420726726,0.83326595257953,Trade_Imports,1.23300996634004,-9.6828534526804,13.4681807233119,213,9
2,,,,Trade_Imports,,,,213,9
3,,,,Trade_Imports,,,,213,9
4,,,,Trade_Imports,,,,213,9
5,,,,Trade_Imports,,,,213,9
6,,,,Trade_Imports,,,,213,9
7,,,,Trade_Imports,,,,213,9
8,,,,Trade_Imports,,,,213,9
9,,,,Trade_Imports,,,,213,9
10,,,,Trade_Imports,,,,213,9
11,,,,Trade_Imports,,,,213,9
12,,,,Trade_Imports,,,,213,9
