h,estimate,se,pvalue,n,n_country,window_id,window_length,window_midpoint,db,trade,lag_order
12,0.00608668922125486,0.00409280029212129,0.13696995531554,498,21,1,36,2003-07-01,GDELT,Trade_Exports,12
0,-0.00302773033899174,0.00424921941212794,0.476131683583026,693,22,1,36,2003-07-01,GDELT,Trade_Imports,3
1,-0.00383440549648848,0.00437628076635797,0.380932707239617,693,22,1,36,2003-07-01,GDELT,Trade_Imports,3
2,-0.00327949967024738,0.0038698930853581,0.396750280650015,693,22,1,36,2003-07-01,GDELT,Trade_Imports,3
3,0.000327360472270676,0.00546906295186137,0.952269706436534,693,22,1,36,2003-07-01,GDELT,Trade_Imports,3
0,-0.00369677664786846,0.00384300614733717,0.336075127911377,627,22,1,36,2003-07-01,GDELT,Trade_Imports,6
1,-0.00227096725322068,0.00400115825543581,0.570321913559593,627,22,1,36,2003-07-01,GDELT,Trade_Imports,6
2,9.38768820263656e-05,0.00340244514622956,0.977988355675186,627,22,1,36,2003-07-01,GDELT,Trade_Imports,6
3,0.00265864184717861,0.00548518823508792,0.627892903185325,627,22,1,36,2003-07-01,GDELT,Trade_Imports,6
4,-0.00231088270765638,0.00528542570841447,0.661953332341148,627,22,1,36,2003-07-01,GDELT,Trade_Imports,6
5,0.000118133465021012,0.00305032370240063,0.969107111194958,627,22,1,36,2003-07-01,GDELT,Trade_Imports,6
6,-0.00167380042054656,0.00370534617131031,0.65146653776376,627,22,1,36,2003-07-01,GDELT,Trade_Imports,6
0,0.00233776368953264,0.00406449475592324,0.565178286411193,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
1,0.00386591898429343,0.00484216868490543,0.424646609338737,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
2,0.00222109252666332,0.00506321977505668,0.660899249622795,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
3,0.0030520822881561,0.00640319042688596,0.633611197965014,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
4,-0.000470290284666574,0.00561254012805747,0.933221196423631,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
5,0.000581853494555308,0.00367281910607235,0.874124676898409,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
6,-0.000455083519100306,0.00474798425583694,0.923641507752476,498,21,1,36,2003-07-01,GDELT,Trade_Imports,12
