trade,estimate,se,pvalue,pct_change,ci_lower,ci_upper,n,n_country
Trade_Total,-0.102951536397661,0.0788984116670873,0.19193985501485,-9.78293051361423,-22.7089811870997,5.30485626556261,6685,25
Trade_Exports,-0.0140295844515538,0.0631464503276491,0.824177385535844,-1.39316284606321,-12.872413236585,11.5985039262656,6685,25
Trade_Imports,-0.138091980927813,0.102373387193014,0.177367459824554,-12.8981429035236,-28.7335003651618,6.45581793028398,6685,25
