window_id,db,trade,pol_var,avg_response_lag,immediate_share,peak_lag,sig_lags_count,method,sum_abs_coef,n,n_country,window_midpoint
2,Tsinghua,Trade_Total,Pol_Agg,4.16041151873814,0.0247941890453635,5,2,Raw,,,,
2,Tsinghua,Trade_Exports,Pol_Agg,3.31437457097196,0.120398033730006,5,1,Raw,,,,
2,Tsinghua,Trade_Imports,Pol_Agg,3.94430904756786,0.0948957169774081,5,1,Raw,,,,
3,GDELT,Trade_Total,Pol_Agg,2.74434340850758,0.167812267211776,1,0,Raw,,,,
3,GDELT,Trade_Total,Pol_CHN_Partner,3.70169553764738,0.0544181749038506,5,0,Raw,,,,
3,GDELT,Trade_Total,Pol_Partner_CHN,2.08197347658471,0.220826336632954,1,0,Raw,,,,
3,GDELT,Trade_Exports,Pol_Agg,2.56278777676384,0.185286383852069,3,1,Raw,,,,
3,GDELT,Trade_Exports,Pol_CHN_Partner,3.8288450365117,0.0407397995265746,5,0,Raw,,,,
3,GDELT,Trade_Exports,Pol_Partner_CHN,2.07915870493073,0.190983458019079,3,0,Raw,,,,
3,GDELT,Trade_Imports,Pol_Agg,3.06873083982193,0.197072578367654,6,0,Raw,,,,
3,GDELT,Trade_Imports,Pol_CHN_Partner,3.38335760925054,0.131032603999902,6,0,Raw,,,,
3,GDELT,Trade_Imports,Pol_Partner_CHN,2.8880182300379,0.224866556996923,6,0,Raw,,,,
3,ICEWS,Trade_Total,Pol_Agg,2.69247526817774,0.181499508398097,4,4,Raw,,,,
3,ICEWS,Trade_Total,Pol_CHN_Partner,2.35484712388465,0.171023581180081,4,2,Raw,,,,
3,ICEWS,Trade_Total,Pol_Partner_CHN,2.50769339882475,0.236264032015501,0,4,Raw,,,,
3,ICEWS,Trade_Exports,Pol_Agg,2.53244058928039,0.211673203347271,4,3,Raw,,,,
3,ICEWS,Trade_Exports,Pol_CHN_Partner,2.22256908002122,0.230604680805933,4,4,Raw,,,,
3,ICEWS,Trade_Exports,Pol_Partner_CHN,2.56748668211558,0.243276180116886,0,5,Raw,,,,
3,ICEWS,Trade_Imports,Pol_Agg,3.01999826531689,0.172341159643777,4,0,Raw,,,,
